<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,64.3000000,66.9900000,63.2500000,66.0000000,98683
20070604,000000,66.7000000,66.8000000,64.7900000,64.9000000,71055
20070605,000000,64.9000000,66.0000000,63.0500000,63.4000000,180843
20070606,000000,64.4400000,64.4900000,63.5000000,64.1000000,202843
20070607,000000,64.3000000,64.4700000,63.6700000,63.6700000,79215
20070608,000000,63.6700000,64.4900000,62.3000000,64.0000000,64617
20070609,000000,63.7500000,65.0000000,63.0500000,64.8800000,163910
20070613,000000,65.0000000,65.0000000,63.8000000,64.2000000,57835
20070614,000000,64.7400000,66.7000000,64.3000000,64.7300000,568036
20070615,000000,64.9000000,65.4000000,64.2000000,64.9700000,250269
20070618,000000,65.3000000,67.8400000,64.5000000,67.0000000,2799417
20070619,000000,67.7000000,75.5000000,66.9300000,72.7000000,2871992
20070620,000000,73.9900000,74.1400000,71.0100000,72.8200000,847654
20070621,000000,73.0000000,73.0000000,71.1000000,72.0000000,517468
20070622,000000,72.0000000,72.4900000,70.3000000,71.8000000,293813
20070625,000000,71.9000000,71.9800000,70.5500000,71.4400000,256851
20070626,000000,70.5800000,71.9900000,70.5800000,71.4700000,137451
20070627,000000,71.4000000,74.6900000,70.6200000,74.0900000,1276629
20070628,000000,74.7500000,74.7500000,72.3000000,73.8900000,336687
20070629,000000,74.1500000,74.2000000,73.3500000,73.8900000,119067
20070702,000000,73.8900000,74.0900000,73.0000000,73.1900000,98499
20070703,000000,73.2000000,73.2500000,72.1000000,72.1000000,279451
20070704,000000,72.1000000,74.6000000,72.1000000,74.5000000,237663
20070705,000000,75.0000000,76.5000000,73.1000000,76.3800000,614467
20070706,000000,76.5500000,78.0000000,75.1500000,77.2000000,283589
20070709,000000,77.2000000,78.4900000,76.4400000,76.8700000,369255
20070710,000000,76.5100000,77.4900000,75.0000000,75.6700000,296907
20070711,000000,76.1000000,77.0700000,75.0000000,76.9000000,226627
20070712,000000,76.9900000,77.9000000,76.4500000,77.4500000,363184
20070713,000000,77.4000000,78.0000000,75.1000000,76.0000000,441111
20070716,000000,76.0000000,77.2000000,75.8100000,76.3900000,169762
20070717,000000,76.3100000,76.8000000,75.3500000,76.3500000,71866
20070718,000000,76.0300000,76.1000000,75.1000000,75.1000000,50669
20070719,000000,75.0900000,76.2000000,74.0000000,75.9000000,301398
20070720,000000,75.7600000,76.4100000,74.8100000,75.4000000,49613
