<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,599.5600000,600.0000000,588.0000000,600.0000000,667
20070604,000000,598.0000000,598.0000000,590.0000000,595.5000000,1121
20070605,000000,598.0000000,598.0000000,592.5000000,592.5000000,196
20070606,000000,597.0000000,605.0000000,591.0000000,600.0000000,1381
20070607,000000,604.0000000,610.0000000,595.0000000,595.0000000,190
20070608,000000,594.0000000,597.5000000,593.0000000,597.5000000,263
20070609,000000,598.0000000,614.0000000,595.9000000,596.0000000,475
20070613,000000,596.0000000,597.0000000,593.0000000,596.9900000,137
20070614,000000,597.0000000,606.0000000,594.1100000,597.0000000,380
20070615,000000,599.0000000,599.9900000,593.0000000,597.0000000,593
20070618,000000,597.0000000,597.0000000,593.0000000,595.0000000,317
20070619,000000,597.0000000,599.9500000,595.0000000,597.0000000,4246
20070620,000000,598.0000000,598.0000000,593.0000000,595.0000000,6110
20070621,000000,595.0000000,598.0000000,594.0000000,595.0000000,2981
20070622,000000,594.9900000,596.0000000,593.5000000,594.0000000,2578
20070625,000000,594.0000000,599.0000000,590.0000000,599.0000000,6887
20070626,000000,595.5000000,611.9800000,595.5000000,605.2500000,1843
20070627,000000,601.9000000,609.9000000,601.9000000,609.9000000,360
20070628,000000,614.0000000,615.0000000,605.0000000,609.9800000,622
20070629,000000,609.9800000,613.9900000,606.0000000,606.0000000,6510
20070702,000000,605.0000000,610.0000000,601.0000000,607.0000000,255
20070703,000000,605.0000000,615.0000000,605.0000000,613.0000000,3521
20070704,000000,620.0000000,620.0000000,612.0000000,618.0000000,2190
20070705,000000,619.5000000,625.0000000,618.0000000,625.0000000,4512
20070706,000000,625.0000000,645.0000000,621.0000000,645.0000000,8772
20070709,000000,648.0000000,660.0000000,640.0300000,660.0000000,8646
20070710,000000,666.0000000,668.1300000,645.0000000,654.9900000,4277
20070711,000000,650.0000000,653.0000000,641.8000000,651.9900000,1485
20070712,000000,650.0000000,668.0000000,650.0000000,660.0000000,2073
20070713,000000,660.0000000,664.0000000,645.5100000,655.0000000,1225
20070716,000000,650.0000000,658.0000000,645.0000000,653.9700000,4242
20070717,000000,646.0100000,654.9900000,636.5000000,651.9900000,597
20070718,000000,649.5000000,650.0000000,640.0000000,645.0000000,2882
20070719,000000,650.0000000,655.0000000,640.0000000,640.0000000,2646
20070720,000000,642.0100000,646.0000000,640.0000000,644.9900000,8678
20070723,000000,636.0000000,640.0000000,632.0000000,639.9000000,309
20070724,000000,638.0000000,638.0000000,631.0000000,632.0000000,3283
20070725,000000,622.0000000,629.9000000,615.1100000,619.9900000,4038
20070726,000000,622.1000000,645.0000000,610.0100000,640.0000000,3953
20070727,000000,620.0000000,632.0000000,612.0200000,630.0000000,707
20070730,000000,633.0000000,635.0000000,630.0000000,630.0000000,54
20070731,000000,625.0000000,625.0000000,620.0000000,622.9900000,303
20070801,000000,615.0100000,630.0000000,605.5000000,629.9900000,927
20070802,000000,624.0000000,630.0000000,624.0000000,629.9000000,196
20070803,000000,625.0000000,626.0000000,622.0000000,626.0000000,582
20070806,000000,620.6000000,625.0000000,620.0000000,625.0000000,768
20070807,000000,620.0000000,622.0000000,620.0000000,622.0000000,379
20070808,000000,625.0000000,625.0000000,621.5000000,622.1100000,1022
20070809,000000,621.5000000,625.0000000,600.0000000,620.0000000,7263
20070810,000000,615.0000000,620.0000000,615.0000000,619.0000000,8442
20070813,000000,620.0000000,625.0000000,615.0100000,625.0000000,383
20070814,000000,619.0100000,623.9000000,615.0000000,615.0000000,2337
20070815,000000,615.1000000,618.0000000,605.0100000,618.0000000,3154
20070816,000000,620.0000000,620.0000000,602.5100000,617.0000000,1571
20070817,000000,618.7500000,618.7500000,600.0000000,611.9800000,1334
20070820,000000,614.0000000,618.0000000,610.0000000,618.0000000,128
20070821,000000,606.0000000,612.9900000,601.5000000,612.9900000,95
20070822,000000,615.0000000,624.0000000,605.5100000,608.0000000,3860
20070823,000000,609.0000000,615.0000000,602.5100000,609.4900000,3463
20070824,000000,610.0000000,610.0000000,600.0000000,600.0000000,832
20070827,000000,601.5000000,623.0000000,601.5000000,614.0000000,1202
20070828,000000,614.9900000,615.0000000,600.0000000,605.0000000,343
20070829,000000,600.3000000,619.9800000,600.0000000,602.5000000,369
20070830,000000,602.0100000,615.0000000,602.0100000,610.0000000,382
20070831,000000,605.0100000,619.9900000,600.0100000,619.9900000,80
20070903,000000,611.9900000,611.9900000,601.9900000,605.0000000,339
20070904,000000,605.0000000,606.0000000,602.5000000,606.0000000,796
20070905,000000,602.5100000,608.9000000,602.5000000,602.9100000,65
20070906,000000,605.5000000,610.0000000,605.0000000,605.0000000,602
20070907,000000,609.9900000,609.9900000,601.0200000,601.0200000,134
20070910,000000,600.0100000,606.6200000,585.0000000,606.6200000,3400
20070911,000000,607.0000000,609.9400000,598.5400000,600.0000000,1185
20070912,000000,591.1000000,607.9900000,482.0000000,599.9000000,1315
20070913,000000,590.0100000,596.0000000,588.0000000,591.0000000,1173
20070914,000000,589.0400000,600.0000000,589.0400000,599.9900000,758
20070917,000000,599.9900000,599.9900000,590.0000000,599.9900000,104
20070918,000000,604.9900000,604.9900000,600.0000000,602.9700000,1641
20070919,000000,606.3400000,610.0000000,587.0200000,600.0000000,685
20070920,000000,600.0000000,603.7700000,595.0000000,603.7700000,857
20070921,000000,601.0100000,603.0000000,600.0000000,602.9900000,52
20070924,000000,590.1100000,603.5000000,590.1000000,596.0000000,648
20070925,000000,591.0100000,593.3900000,591.0000000,593.3900000,12
20070926,000000,605.3300000,621.8900000,598.2000000,621.0000000,3867
20070927,000000,621.9900000,631.0000000,610.0000000,615.0000000,1789
20070928,000000,628.0000000,660.0000000,613.8400000,660.0000000,4139
20071001,000000,630.0100000,650.0000000,614.2500000,645.8700000,801
20071002,000000,635.0000000,635.0000000,611.0000000,622.5000000,583
20071003,000000,613.0000000,620.9500000,593.7000000,616.0000000,456
20071004,000000,607.0000000,619.0000000,600.0000000,618.9900000,730
20071005,000000,605.0100000,617.5000000,601.5000000,610.0000000,3679
20071008,000000,609.1000000,700.0000000,601.5000000,669.0000000,84892
20071009,000000,669.0000000,689.0000000,645.0100000,665.0000000,16937
20071010,000000,710.0000000,710.0000000,663.0000000,704.0000000,48999
20071011,000000,705.0000000,750.0000000,703.3000000,750.0000000,25455
20071012,000000,749.9900000,799.0000000,749.9900000,785.0000000,42506
20071015,000000,795.0000000,795.0000000,751.0200000,780.0000000,30029
20071016,000000,750.0000000,780.0000000,749.9500000,769.9900000,19447
20071017,000000,741.0000000,779.9400000,741.0000000,777.0000000,6533
20071018,000000,780.0000000,787.0000000,760.0100000,786.0000000,11072
20071019,000000,785.0000000,820.0000000,775.0000000,810.0000000,55920
20071022,000000,805.0000000,849.7000000,752.0000000,827.7700000,34901
20071023,000000,849.9800000,867.1500000,841.0000000,860.0000000,9768
20071024,000000,869.9900000,917.0000000,855.0000000,900.0000000,21330
20071025,000000,910.0000000,919.0000000,870.0000000,880.0000000,14506
20071026,000000,865.0000000,914.0000000,860.0000000,905.4600000,6995
20071029,000000,911.0000000,918.8300000,901.0300000,904.0000000,4359
20071030,000000,911.5000000,912.0000000,880.0000000,899.9800000,2313
20071031,000000,908.0000000,908.0000000,890.0200000,901.5000000,4727
20071101,000000,900.0000000,904.9500000,875.0300000,895.3000000,13334
20071102,000000,896.0000000,905.0000000,895.0000000,896.0000000,2233
20071106,000000,895.5000000,909.9800000,885.0000000,909.0000000,20108
20071107,000000,910.0000000,911.0000000,897.0000000,902.4000000,2100
20071108,000000,900.0000000,909.7200000,900.0000000,908.0000000,6488
20071109,000000,903.0000000,912.0000000,902.0000000,912.0000000,3637
20071112,000000,902.0000000,950.0100000,902.0000000,950.0100000,34062
20071113,000000,958.0000000,958.0000000,930.0000000,945.0000000,3243
20071114,000000,954.9800000,957.0000000,930.0400000,943.9900000,11114
20071115,000000,950.0000000,1020.0000000,950.0000000,1000.0000000,10935
20071116,000000,1018.0000000,1085.0000000,995.0000000,1000.0000000,31205
20071119,000000,1000.0000000,1005.0000000,953.0000000,960.0000000,10483
20071120,000000,965.0000000,1000.0000000,959.0700000,959.5000000,8746
20071121,000000,960.0000000,969.0000000,946.0000000,955.0000000,7420
20071122,000000,949.5000000,960.0000000,930.0000000,950.0000000,8255
20071123,000000,946.8800000,950.0000000,931.0100000,931.0500000,10795
20071126,000000,933.0000000,979.9900000,923.2100000,978.0000000,47299
20071127,000000,978.0000000,979.0000000,965.0000000,970.0000000,6597
20071128,000000,963.0000000,989.0000000,950.0100000,982.0000000,5628
20071129,000000,999.0000000,999.0000000,965.0000000,980.0000000,3706
20071130,000000,973.0000000,1020.0000000,960.1100000,1018.0000000,10942
20071203,000000,1029.0000000,1036.0000000,1003.0000000,1035.9900000,4279
20071204,000000,1015.0000000,1025.0000000,1001.4900000,1016.9900000,1065
20071205,000000,1024.0000000,1060.0000000,1015.0100000,1060.0000000,5660
20071206,000000,1061.0000000,1070.0000000,1043.0000000,1069.9700000,10472
20071207,000000,1059.9900000,1059.9900000,1020.0000000,1046.4900000,4775
20071210,000000,1050.0000000,1050.0000000,1030.0100000,1036.0000000,2406
20071211,000000,1030.0500000,1049.1900000,1030.0000000,1043.9500000,3372
20071212,000000,1045.0000000,1050.0000000,1035.0000000,1045.0000000,3603
20071213,000000,1031.1100000,1045.0000000,1031.1100000,1040.0000000,4824
20071214,000000,1049.0000000,1144.6000000,1049.0000000,1100.0000000,5897
20071217,000000,1102.0000000,1108.0000000,1055.0000000,1105.0000000,3631
20071218,000000,1100.0000000,1149.0000000,1090.0100000,1139.8900000,8421
20071219,000000,1140.0000000,1141.0000000,1110.0000000,1140.5000000,2148
20071220,000000,1135.0300000,1149.9700000,1111.0000000,1134.9900000,2754
20071221,000000,1115.0100000,1175.0000000,1100.0000000,1160.0000000,20739
20071224,000000,1158.0100000,1165.0000000,1146.0000000,1159.0000000,1454
20071225,000000,1135.0000000,1173.9700000,1135.0000000,1150.0000000,6746
20071226,000000,1160.0000000,1189.0000000,1158.0000000,1189.0000000,7283
20071227,000000,1189.9400000,1230.0000000,1189.9400000,1210.0000000,8714
20071228,000000,1219.9900000,1235.0000000,1203.0000000,1234.9000000,11943
20080109,000000,1247.0100000,1490.0000000,1242.0000000,1421.0000000,25785
20080110,000000,1422.0000000,1630.0000000,1405.0100000,1566.1000000,48857
20080111,000000,1600.0000000,1600.0000000,1512.0000000,1600.0000000,14965
20080114,000000,1600.0000000,1650.0000000,1555.0000000,1579.0000000,11383
20080115,000000,1580.0100000,1590.0000000,1550.0200000,1585.0000000,11523
20080116,000000,1580.0000000,1580.0000000,1452.0000000,1494.7000000,12280
20080117,000000,1498.0300000,1520.0000000,1426.0100000,1487.9900000,3130
20080118,000000,1483.1000000,1483.1000000,1430.0200000,1438.0000000,2424
20080121,000000,1425.1000000,1450.0000000,1256.0100000,1319.9900000,12992
20080122,000000,1245.0000000,1450.0000000,1156.0000000,1370.0000000,9027
20080123,000000,1450.0000000,1479.9000000,1290.0000000,1302.8200000,8034
20080124,000000,1370.0000000,1418.0000000,1345.0000000,1418.0000000,8704
20080125,000000,1425.0000000,1650.0000000,1425.0000000,1503.0000000,7133
20080128,000000,1473.0000000,1488.5000000,1312.0000000,1472.5000000,15962
20080129,000000,1492.0000000,1594.0000000,1485.0000000,1525.0000000,7839
20080130,000000,1500.0000000,1520.0000000,1480.5100000,1490.0100000,1422
20080131,000000,1452.0000000,1615.0000000,1430.0000000,1469.3500000,6480
20080201,000000,1500.0000000,1580.0100000,1500.0000000,1570.0000000,10184
20080204,000000,1598.0000000,1605.0000000,1570.0000000,1580.0000000,6025
20080205,000000,1575.0000000,1626.0000000,1575.0000000,1597.8000000,26929
20080206,000000,1510.0000000,1624.9900000,1500.0000000,1615.0000000,5806
20080207,000000,1634.9900000,1649.9900000,1575.0000000,1608.0000000,2824
20080208,000000,1628.0000000,1632.0000000,1610.0000000,1612.0000000,1988
20080211,000000,1626.9900000,1640.0000000,1600.0100000,1639.5000000,4311
20080212,000000,1650.0000000,1700.0000000,1650.0000000,1700.0000000,14394
20080213,000000,1780.0000000,1780.0000000,1680.0200000,1750.0000000,10873
20080214,000000,1799.7500000,1849.9600000,1745.0200000,1836.5100000,15432
20080215,000000,1869.0000000,1925.0000000,1775.0000000,1899.8900000,18197
20080218,000000,1920.0000000,1986.9900000,1899.0000000,1922.0000000,11063
20080219,000000,1922.0000000,1925.0000000,1822.0000000,1905.0000000,6979
20080220,000000,1885.0000000,1890.0000000,1855.0000000,1863.5000000,3522
20080221,000000,1866.4100000,1928.0000000,1866.0000000,1904.3000000,6715
20080222,000000,1899.9000000,1900.0000000,1861.0200000,1887.0000000,5712
20080226,000000,1920.0000000,1979.0000000,1900.0000000,1915.0000000,23506
20080227,000000,1922.0000000,2089.0000000,1922.0000000,2077.0000000,24560
20080228,000000,2080.0000000,2080.0000000,1981.0100000,2030.0100000,15218
20080229,000000,2037.9900000,2120.0000000,2000.0400000,2080.0000000,12991
20080303,000000,2050.0000000,2080.0000000,1999.8800000,2059.0000000,5396
20080304,000000,2061.0000000,2099.0000000,2030.0000000,2050.0000000,3386
20080305,000000,2079.0000000,2079.0000000,1965.0000000,2000.0300000,20163
20080306,000000,2025.0000000,2025.0000000,1770.0300000,1822.0000000,45409
20080307,000000,1789.0000000,1850.0000000,1710.0000000,1794.9800000,13621
20080311,000000,1760.0000000,1800.0000000,1701.0000000,1723.6800000,9760
