<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20111129,000000,35.0000000,40.6090000,35.0000000,40.6090000,19100
20111130,000000,48.3200000,54.6000000,42.0000000,54.6000000,76800
20111201,000000,67.0000000,76.4400000,65.5500000,76.4400000,11800
20111202,000000,100.1000000,107.0160000,45.8640000,45.8640000,1898500
20111205,000000,37.5500000,41.9850000,36.7000000,37.1000000,1547100
20111206,000000,37.0000000,37.1000000,34.7500000,34.8000000,831100
20111207,000000,34.7010000,36.0000000,34.5010000,35.3000000,467700
20111208,000000,35.3000000,35.3000000,34.7500000,34.8210000,181100
20111209,000000,34.9990000,35.2400000,34.2000000,34.3900000,631700
20111212,000000,34.3040000,34.7970000,33.3000000,33.4900000,225800
20111213,000000,33.0030000,34.0000000,30.5010000,33.9000000,665500
20111214,000000,33.0330000,33.8000000,32.6200000,33.3870000,103800
20111215,000000,33.3000000,33.5000000,32.0300000,32.9010000,357600
20111216,000000,32.9500000,32.9500000,31.7570000,32.1980000,134300
20111219,000000,31.6660000,31.7980000,30.7100000,31.3040000,133300
20111220,000000,31.0200000,31.4990000,30.3510000,31.3470000,150500
20111221,000000,31.2870000,31.9980000,30.5500000,31.0490000,236800
20111222,000000,31.0000000,31.0000000,30.3530000,30.6570000,107700
20111223,000000,30.6000000,30.9000000,30.3000000,30.3010000,149300
20111226,000000,30.0130000,30.4950000,30.0120000,30.3470000,181900
20111227,000000,30.0510000,30.3000000,30.0000000,30.0000000,18300
20111228,000000,30.3790000,30.4000000,30.0000000,30.1110000,595400
20111229,000000,30.0210000,30.3500000,29.4000000,30.2000000,404800
20111230,000000,30.4800000,31.0000000,30.4800000,31.0000000,572000
20120103,000000,31.0000000,31.0000000,30.3540000,30.9900000,143900
20120104,000000,30.7110000,31.3840000,30.6000000,31.0000000,41600
20120105,000000,30.9980000,31.0000000,29.4000000,29.9950000,313400
20120106,000000,29.9200000,30.1700000,29.7000000,30.0930000,44600
20120109,000000,30.0480000,30.0830000,29.8000000,30.0700000,20200
20120110,000000,30.6000000,30.6000000,30.1000000,30.4400000,180300
20120111,000000,30.4000000,30.5980000,30.1040000,30.1120000,81700
20120112,000000,30.1060000,30.7500000,29.7020000,30.6990000,264700
20120113,000000,30.5010000,30.7500000,30.1350000,30.4000000,25100
20120116,000000,30.4790000,30.4790000,29.5610000,30.1500000,106400
20120117,000000,30.1500000,30.4700000,29.7990000,29.9000000,408100
20120118,000000,29.8510000,29.9500000,29.7000000,29.8000000,201700
20120119,000000,29.8000000,29.9000000,29.7400000,29.8500000,440700
20120120,000000,30.0000000,30.5000000,29.7010000,30.2000000,1640200
20120123,000000,30.2500000,30.3750000,30.0000000,30.1200000,472300
20120124,000000,30.0200000,30.1430000,29.8500000,30.0500000,304000
20120125,000000,29.9010000,30.0000000,29.8110000,29.9400000,100500
20120126,000000,29.9990000,30.1790000,29.9210000,29.9960000,250900
20120127,000000,29.9960000,30.1000000,29.8110000,29.9200000,162800
20120130,000000,29.8300000,29.9900000,29.3300000,29.6790000,296000
20120131,000000,29.7980000,29.8500000,29.5500000,29.8000000,737700
20120201,000000,29.8000000,30.0990000,29.8000000,30.0500000,649600
20120202,000000,30.0600000,32.7900000,29.9500000,32.4250000,3367100
20120203,000000,32.4500000,32.5000000,31.6000000,31.8500000,408900
20120206,000000,31.6090000,31.8200000,31.3500000,31.6000000,424100
20120207,000000,31.6500000,33.2000000,31.5610000,33.1700000,4942400
20120208,000000,33.0000000,33.8790000,32.8200000,33.8000000,4706800
20120209,000000,33.8000000,33.8200000,32.2010000,32.8490000,538700
20120210,000000,32.7990000,32.7990000,32.0250000,32.2000000,491700
20120213,000000,32.3200000,33.4500000,32.3000000,33.3000000,1583800
20120214,000000,33.4000000,33.9400000,33.3500000,33.4750000,955200
20120215,000000,33.8500000,33.9500000,33.5000000,33.5700000,475200
20120216,000000,33.4750000,33.5700000,33.0080000,33.2000000,219200
20120217,000000,33.3090000,33.5500000,33.2500000,33.2510000,265800
20120220,000000,33.3050000,33.5000000,33.2200000,33.4500000,156100
20120221,000000,33.4000000,33.5000000,33.1560000,33.3120000,193200
20120222,000000,33.3990000,33.6000000,32.3010000,32.8020000,273200
20120224,000000,32.6670000,33.3300000,32.5200000,32.9000000,625700
20120227,000000,32.6240000,32.9000000,32.3620000,32.4180000,1200000
20120228,000000,32.4000000,32.4000000,31.1100000,31.6850000,330600
20120229,000000,31.5510000,32.2800000,31.5500000,32.1090000,463500
20120301,000000,31.9510000,32.9290000,31.7120000,32.8600000,1779500
20120302,000000,33.1000000,33.3330000,32.4300000,32.5000000,590800
20120305,000000,32.3500000,32.5500000,31.8000000,32.4000000,695400
20120306,000000,32.1060000,32.5000000,31.2000000,31.2000000,355500
20120307,000000,31.5790000,31.7880000,31.2230000,31.5260000,231500
20120311,000000,31.8000000,31.8500000,31.5200000,31.7150000,72700
20120312,000000,31.6300000,31.7490000,31.3970000,31.5310000,597800
20120313,000000,31.5510000,32.5550000,31.4000000,31.8150000,938600
20120314,000000,31.9940000,32.0900000,31.7620000,32.0000000,625500
20120315,000000,32.0400000,32.3200000,31.9980000,32.0500000,1939900
20120316,000000,32.0110000,32.1900000,31.9510000,32.0000000,744200
20120319,000000,32.0970000,32.3000000,31.9920000,32.0500000,1898200
20120320,000000,32.0010000,32.0100000,31.7110000,31.9300000,550900
20120321,000000,31.9300000,32.0000000,31.5020000,31.6000000,248300
20120322,000000,31.8990000,31.9450000,31.7490000,31.9350000,747800
20120323,000000,31.9990000,32.0000000,31.8000000,31.8500000,265400
20120326,000000,32.0990000,32.0990000,31.7900000,31.7900000,170900
20120327,000000,31.8010000,32.0000000,31.4990000,31.5790000,312200
20120328,000000,31.5010000,31.6000000,31.3600000,31.4390000,100500
20120329,000000,31.2470000,31.4740000,30.8990000,31.0700000,155500
20120330,000000,31.1400000,31.2400000,30.5100000,31.0950000,460500
20120402,000000,31.2480000,31.2480000,30.8000000,30.8760000,407000
20120403,000000,30.8990000,30.9990000,30.8000000,30.8210000,368800
20120404,000000,30.6990000,30.8330000,30.1970000,30.2990000,252000
