<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20111118,000000,1600.0000000,1600.0000000,1560.0000000,1562.5000000,4218
20111121,000000,1560.0000000,1560.0000000,1500.1000000,1500.1000000,550
20111122,000000,1540.0000000,1540.0000000,1500.0000000,1505.0000000,7323
20111123,000000,1505.0000000,1530.0000000,1480.0000000,1480.0000000,2231
20111124,000000,1485.0000000,1510.0000000,1480.1000000,1493.5000000,306
20111125,000000,1460.0000000,1510.0000000,1460.0000000,1460.0000000,3004
20111128,000000,1475.0000000,1495.0000000,1475.0000000,1480.0000000,503
20111129,000000,1465.1000000,1489.8000000,1465.0000000,1480.0000000,1534
20111130,000000,1475.0000000,1484.7000000,1467.0000000,1470.0000000,12961
20111201,000000,1470.0000000,1510.0000000,1465.0000000,1472.0000000,29065
20111202,000000,1468.1000000,1485.0000000,1459.0000000,1475.0000000,15251
20111205,000000,1475.1000000,1485.0000000,1474.9000000,1475.0000000,26216
20111206,000000,1460.1000000,1474.8000000,1440.0000000,1450.1000000,4467
20111207,000000,1464.8000000,1464.8000000,1445.0000000,1450.0000000,16691
20111208,000000,1464.9000000,1464.9000000,1440.1000000,1441.0000000,22308
20111209,000000,1449.9000000,1480.0000000,1400.0000000,1425.0000000,11606
20111212,000000,1430.0000000,1460.0000000,1420.0000000,1420.1000000,32022
20111213,000000,1424.9000000,1445.0000000,1420.1000000,1430.0000000,12890
20111214,000000,1430.1000000,1435.0000000,1430.0000000,1434.9000000,1865
20111215,000000,1439.9000000,1499.9000000,1400.0000000,1414.0000000,20659
20111216,000000,1428.0000000,1430.0000000,1410.0000000,1410.0000000,2400
20111219,000000,1415.0000000,1420.0000000,1400.0000000,1400.0000000,4651
20111220,000000,1411.0000000,1419.9000000,1395.0000000,1397.0000000,28798
20111221,000000,1400.0000000,1425.0000000,1377.0000000,1377.0000000,25276
20111222,000000,1409.9000000,1420.0000000,1375.2000000,1410.0000000,2619
20111223,000000,1410.0000000,1425.0000000,1390.1000000,1400.0000000,3762
20111226,000000,1400.0000000,1405.0000000,1375.0000000,1384.9000000,2185
20111227,000000,1380.1000000,1380.1000000,1365.0000000,1365.0000000,2234
20111228,000000,1365.2000000,1369.9000000,1350.5000000,1369.0000000,5141
20111229,000000,1370.0000000,1370.0000000,1335.0000000,1357.2000000,21731
20111230,000000,1370.0000000,1370.0000000,1335.5000000,1341.8000000,6180
20120103,000000,1349.9000000,1380.0000000,1335.0000000,1380.0000000,6154
20120104,000000,1380.0000000,1380.0000000,1370.0000000,1375.6000000,2200
20120105,000000,1370.1000000,1385.0000000,1370.0000000,1374.9000000,539
20120106,000000,1370.1000000,1384.0000000,1370.1000000,1380.0000000,1169
20120109,000000,1380.0000000,1380.0000000,1360.0000000,1370.0000000,914
20120110,000000,1380.0000000,1390.0000000,1365.1000000,1381.0000000,10835
20120111,000000,1375.0000000,1385.0000000,1371.1000000,1375.6000000,1053
20120112,000000,1380.0000000,1400.0000000,1370.3000000,1375.0000000,519
20120113,000000,1373.7000000,1400.0000000,1365.0000000,1389.0000000,24919
20120116,000000,1389.9000000,1415.0000000,1372.0000000,1405.0000000,8437
20120117,000000,1408.0000000,1434.1000000,1408.0000000,1425.0000000,2619
20120118,000000,1434.1000000,1456.9000000,1405.0000000,1454.9000000,16199
20120119,000000,1454.9000000,1494.9000000,1445.0000000,1465.0000000,21143
20120120,000000,1468.7000000,1500.0000000,1468.7000000,1489.2000000,26194
20120123,000000,1480.1000000,1499.0000000,1480.0000000,1494.0000000,33454
20120124,000000,1495.0000000,1528.0000000,1494.9000000,1495.0000000,8930
20120125,000000,1495.2000000,1529.7000000,1490.0000000,1510.0000000,11785
20120126,000000,1535.1000000,1540.0000000,1510.0000000,1519.9000000,50219
20120127,000000,1519.9000000,1525.0000000,1490.0000000,1505.0000000,28765
20120130,000000,1495.0000000,1510.0000000,1495.0000000,1495.0000000,1360
20120131,000000,1514.0000000,1550.0000000,1510.0000000,1550.0000000,6122
20120201,000000,1510.2000000,1650.0000000,1500.1000000,1569.9000000,12702
20120202,000000,1560.1000000,1575.0000000,1510.0000000,1512.0000000,10968
20120203,000000,1517.0000000,1550.0000000,1505.0000000,1550.0000000,16225
20120206,000000,1550.0000000,1570.0000000,1536.0000000,1537.0000000,17461
20120207,000000,1537.0000000,1600.0000000,1535.0000000,1580.0000000,17451
20120208,000000,1595.0000000,1645.0000000,1595.0000000,1635.0000000,55634
20120209,000000,1634.0000000,1660.0000000,1632.0000000,1648.0000000,54908
20120210,000000,1652.0000000,1705.0000000,1635.1000000,1704.0000000,74005
20120213,000000,1730.0000000,1755.0000000,1720.0000000,1752.0000000,54656
20120214,000000,1750.0000000,1760.0000000,1745.0000000,1749.0000000,29777
20120215,000000,1749.9000000,1759.9000000,1720.0000000,1727.2000000,26952
20120216,000000,1738.2000000,1743.0000000,1719.9000000,1720.0000000,24743
20120217,000000,1710.0000000,1734.7000000,1709.9000000,1730.0000000,46535
20120220,000000,1755.0000000,1755.0000000,1725.1000000,1730.0000000,17324
20120221,000000,1731.0000000,1733.0000000,1720.0000000,1730.8000000,4105
20120222,000000,1744.9000000,1759.9000000,1720.0000000,1728.0000000,11120
20120224,000000,1744.9000000,1745.0000000,1720.0000000,1726.0000000,29872
20120227,000000,1744.9000000,1755.0000000,1725.0000000,1755.0000000,44922
20120228,000000,1754.0000000,1787.1000000,1750.0000000,1780.0000000,53901
20120229,000000,1780.0000000,1827.7000000,1780.0000000,1822.5000000,29480
20120301,000000,1820.1000000,1829.9000000,1805.0000000,1825.0000000,7499
20120302,000000,1829.9000000,1899.8000000,1829.9000000,1877.9000000,12481
20120305,000000,1947.9000000,1947.9000000,1880.0000000,1899.9000000,5868
20120306,000000,1890.8000000,1890.8000000,1799.9000000,1835.0000000,36768
20120307,000000,1825.0000000,1859.9000000,1825.0000000,1839.8000000,7697
20120311,000000,1885.0000000,1885.0000000,1811.0000000,1830.0000000,3039
20120312,000000,1850.0000000,1999.9000000,1834.0000000,1870.0000000,37241
20120313,000000,1875.0000000,1899.2000000,1832.0000000,1861.0000000,25120
20120314,000000,1865.0000000,1875.0000000,1850.0000000,1851.2000000,25426
20120315,000000,1852.9000000,1854.0000000,1820.0000000,1822.1000000,9373
20120316,000000,1800.1000000,1800.1000000,1607.2000000,1760.0000000,52879
20120319,000000,1750.5000000,1774.9000000,1720.0000000,1759.6000000,16890
20120320,000000,1759.9000000,1759.9000000,1730.0000000,1730.0000000,4503
20120321,000000,1730.0000000,1735.0000000,1720.0000000,1720.0000000,12001
20120322,000000,1715.1000000,1733.8000000,1715.0000000,1719.0000000,3977
20120323,000000,1725.0000000,1740.0000000,1720.0000000,1720.0000000,26797
20120326,000000,1719.9000000,1730.0000000,1705.0000000,1725.0000000,4335
20120327,000000,1725.0000000,1740.0000000,1705.1000000,1720.0000000,2209
20120328,000000,1705.0000000,1720.1000000,1695.0000000,1695.0000000,20136
20120329,000000,1690.1000000,1708.0000000,1655.0000000,1655.0000000,16936
20120330,000000,1689.9000000,1710.0000000,1670.0000000,1700.0000000,8060
20120402,000000,1700.0000000,1709.0000000,1700.0000000,1700.0000000,339
20120403,000000,1708.9000000,1715.0000000,1700.0000000,1715.0000000,3033
20120404,000000,1715.0000000,1790.0000000,1700.0000000,1724.3000000,3900
20120405,000000,1729.9000000,1730.0000000,1690.2000000,1691.0000000,3819
20120406,000000,1700.0000000,1730.0000000,1690.0000000,1700.0000000,1448
