<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20080522,000000,2.1950000,2.1950000,2.0920000,2.1040000,15655500
20080523,000000,2.1210000,2.1750000,2.1130000,2.1400000,29531900
20080526,000000,2.1580000,2.1690000,2.1290000,2.1430000,34365400
20080527,000000,2.1400000,2.1510000,2.0950000,2.1200000,29492100
20080528,000000,2.1150000,2.1410000,2.0920000,2.1070000,16438800
20080529,000000,2.1140000,2.1240000,2.0930000,2.1040000,10464600
20080530,000000,2.1050000,2.1490000,2.1000000,2.1150000,12800300
20080602,000000,2.1160000,2.1550000,2.1000000,2.1310000,27488000
20080603,000000,2.1130000,2.1850000,2.1130000,2.1770000,47510500
20080604,000000,2.1870000,2.1990000,2.1410000,2.1500000,52876900
20080605,000000,2.1520000,2.1660000,2.1130000,2.1130000,78182700
20080606,000000,2.1340000,2.1390000,2.0320000,2.0600000,55408700
20080607,000000,2.0440000,2.0480000,1.9710000,1.9800000,17087100
20080609,000000,1.9800000,2.0790000,1.9500000,2.0610000,12737100
20080610,000000,2.0630000,2.1060000,2.0600000,2.0700000,13060400
20080611,000000,2.0800000,2.0800000,2.0500000,2.0610000,4418100
20080616,000000,2.0690000,2.0800000,2.0150000,2.0270000,12548000
20080617,000000,2.0300000,2.0610000,2.0120000,2.0360000,20269200
20080618,000000,2.0500000,2.0700000,2.0150000,2.0280000,21631700
20080619,000000,2.0280000,2.0350000,2.0000000,2.0120000,21841600
20080620,000000,2.0130000,2.0270000,1.9750000,1.9940000,51742700
20080623,000000,1.9750000,2.0210000,1.9670000,2.0120000,33168600
20080624,000000,2.0400000,2.0400000,1.9730000,1.9900000,25705700
20080625,000000,1.9950000,2.0000000,1.9770000,1.9850000,13232400
20080626,000000,1.9970000,1.9970000,1.8600000,1.8800000,33420300
20080627,000000,1.8500000,1.8680000,1.8110000,1.8510000,23255200
20080630,000000,1.8520000,1.8700000,1.7850000,1.8380000,27459100
20080701,000000,1.8400000,1.8700000,1.7810000,1.7910000,34829100
20080702,000000,1.8100000,1.8160000,1.7710000,1.7790000,22188400
20080703,000000,1.7800000,1.7800000,1.7200000,1.7400000,25322400
20080704,000000,1.7490000,1.7580000,1.6380000,1.6470000,61534100
20080707,000000,1.6500000,1.7380000,1.6300000,1.7080000,101902700
20080708,000000,1.7070000,1.7070000,1.5950000,1.6030000,113193400
20080709,000000,1.6150000,1.6460000,1.5900000,1.6060000,99872600
20080710,000000,1.6000000,1.6100000,1.5810000,1.5920000,81509900
20080711,000000,1.5960000,1.6250000,1.5200000,1.5340000,137183800
20080714,000000,1.5340000,1.5800000,1.5170000,1.5510000,80977200
20080715,000000,1.5210000,1.5410000,1.5070000,1.5140000,27192600
20080716,000000,1.5210000,1.5310000,1.4700000,1.4850000,41236700
20080717,000000,1.4990000,1.5260000,1.4500000,1.4720000,198567100
20080718,000000,1.4800000,1.4800000,1.4550000,1.4590000,38254300
20080721,000000,1.4590000,1.4790000,1.4530000,1.4640000,34683500
20080722,000000,1.4550000,1.4640000,1.4500000,1.4540000,25253600
20080723,000000,1.4620000,1.4740000,1.4010000,1.4170000,99447900
20080724,000000,1.4100000,1.4390000,1.3400000,1.4000000,101012500
20080725,000000,1.3890000,1.4500000,1.3110000,1.4290000,118323300
20080728,000000,1.4440000,1.4890000,1.3950000,1.4000000,106381000
20080729,000000,1.4000000,1.4100000,1.3700000,1.4000000,79627300
20080730,000000,1.4000000,1.4970000,1.4000000,1.4860000,113630000
20080731,000000,1.4990000,1.5760000,1.4670000,1.5200000,189193600
20080801,000000,1.5120000,1.5800000,1.5120000,1.5500000,114261100
20080804,000000,1.5300000,1.5690000,1.5200000,1.5290000,64594200
20080805,000000,1.5210000,1.5210000,1.4570000,1.5000000,97374800
20080806,000000,1.5300000,1.5470000,1.4600000,1.5080000,86509700
20080807,000000,1.5000000,1.5740000,1.5000000,1.5500000,159174700
20080808,000000,1.5300000,1.6000000,1.4760000,1.4850000,137818600
20080811,000000,1.4680000,1.5120000,1.4010000,1.5080000,140991700
20080812,000000,1.5140000,1.5850000,1.4900000,1.5720000,113517800
20080813,000000,1.5800000,1.5890000,1.5510000,1.5710000,66872000
20080814,000000,1.5850000,1.7200000,1.5850000,1.6670000,233949300
20080815,000000,1.6940000,1.7390000,1.6600000,1.7330000,139870300
20080818,000000,1.7340000,1.7480000,1.7030000,1.7240000,79981500
20080819,000000,1.7000000,1.7070000,1.5700000,1.6200000,160411600
20080820,000000,1.6300000,1.6600000,1.6000000,1.6570000,120409700
20080821,000000,1.6590000,1.6590000,1.5700000,1.6370000,52637100
20080822,000000,1.6490000,1.6670000,1.6110000,1.6290000,43449600
20080825,000000,1.6290000,1.6340000,1.5350000,1.5400000,56255100
20080826,000000,1.5100000,1.5300000,1.4200000,1.4670000,143273700
20080827,000000,1.4800000,1.5300000,1.4800000,1.5120000,148012800
20080828,000000,1.5200000,1.6000000,1.5150000,1.5830000,120519700
20080829,000000,1.5800000,1.7210000,1.5800000,1.6790000,239775700
20080901,000000,1.6690000,1.7070000,1.6300000,1.6530000,127492400
20080902,000000,1.6510000,1.7000000,1.6410000,1.6840000,70739800
20080903,000000,1.6700000,1.6940000,1.6300000,1.6660000,129335300
20080904,000000,1.6630000,1.7500000,1.6200000,1.6500000,207905000
20080905,000000,1.6000000,1.6600000,1.4910000,1.5930000,243179400
20080908,000000,1.6400000,1.6890000,1.6000000,1.6190000,109990300
20080909,000000,1.5970000,1.6000000,1.4530000,1.4730000,105466600
20080910,000000,1.4500000,1.4850000,1.2530000,1.3000000,313999800
20080911,000000,1.3140000,1.3180000,1.1420000,1.1570000,185449300
20080912,000000,1.2000000,1.2300000,1.0750000,1.1350000,288720200
20080915,000000,1.1050000,1.1150000,0.9850000,0.9990000,349708700
20080916,000000,0.9410000,0.9410000,0.7380000,0.7490000,506066100
20080919,000000,0.9300000,0.9500000,0.8160000,0.8850000,235483900
20080922,000000,0.9300000,0.9890000,0.8300000,0.8640000,257587100
20080923,000000,0.8500000,0.8530000,0.7920000,0.8220000,134543600
20080924,000000,0.8400000,0.8840000,0.8120000,0.8500000,232045300
20080925,000000,0.8550000,0.8700000,0.8130000,0.8490000,121722500
20080926,000000,0.8490000,0.8550000,0.7880000,0.8050000,95858700
20080929,000000,0.8020000,0.8040000,0.7500000,0.7600000,95362500
20080930,000000,0.7200000,0.8990000,0.6810000,0.8800000,218423700
20081001,000000,0.8380000,0.9380000,0.8170000,0.8340000,370274400
20081002,000000,0.8300000,0.8820000,0.7900000,0.8800000,119644400
20081003,000000,0.8100000,0.8460000,0.7550000,0.8100000,193722600
20081006,000000,0.7500000,0.7580000,0.6500000,0.6750000,154207400
20081007,000000,0.6750000,0.7000000,0.6050000,0.6290000,130713100
20081008,000000,0.5910000,0.5910000,0.4620000,0.5550000,93274300
20081009,000000,0.5650000,0.6290000,0.5020000,0.5370000,173777400
20081013,000000,0.5370000,0.5500000,0.4800000,0.5150000,149786900
20081014,000000,0.5480000,0.5690000,0.5260000,0.5500000,122354900
20081015,000000,0.5500000,0.5600000,0.4400000,0.4460000,185326900
20081016,000000,0.3690000,0.4680000,0.3590000,0.4000000,167164200
20081017,000000,0.4160000,0.4290000,0.3640000,0.3770000,220837200
20081020,000000,0.3900000,0.4290000,0.3800000,0.4070000,128910600
20081021,000000,0.4180000,0.4550000,0.4180000,0.4370000,154464500
20081022,000000,0.4170000,0.5100000,0.4000000,0.4930000,358574700
20081023,000000,0.4800000,0.5300000,0.4560000,0.4750000,378097700
20081024,000000,0.4700000,0.4700000,0.3950000,0.4090000,61141400
20081028,000000,0.4000000,0.4360000,0.3890000,0.4220000,176167000
20081029,000000,0.4470000,0.4800000,0.4430000,0.4510000,154670000
20081030,000000,0.4660000,0.5170000,0.4660000,0.4890000,378195600
20081031,000000,0.4890000,0.5130000,0.4570000,0.5100000,217368700
20081101,000000,0.5110000,0.5550000,0.5100000,0.5460000,137416000
20081105,000000,0.5830000,0.6900000,0.5800000,0.5990000,414136900
20081106,000000,0.5570000,0.5700000,0.5220000,0.5350000,248390700
20081107,000000,0.5250000,0.5780000,0.5100000,0.5640000,255644400
20081110,000000,0.5880000,0.6100000,0.5570000,0.5690000,192082900
20081111,000000,0.5550000,0.5550000,0.4860000,0.4990000,115685500
20081113,000000,0.4490000,0.5600000,0.4210000,0.5570000,142561700
20081114,000000,0.6000000,0.6140000,0.5490000,0.5500000,302676100
20081117,000000,0.5550000,0.5710000,0.5080000,0.5330000,163348300
20081118,000000,0.5170000,0.5280000,0.4760000,0.5140000,217874200
20081119,000000,0.5150000,0.5150000,0.4550000,0.4650000,155381600
20081120,000000,0.4310000,0.4470000,0.4050000,0.4120000,161177400
20081121,000000,0.4250000,0.5280000,0.4200000,0.5010000,294422300
20081124,000000,0.5170000,0.6350000,0.5160000,0.6270000,378131300
20081126,000000,0.6410000,0.8190000,0.6410000,0.8190000,1179183900
20081128,000000,0.8500000,0.9700000,0.6620000,0.6900000,1303598500
20081201,000000,0.6910000,0.7650000,0.6200000,0.6420000,520523900
20081202,000000,0.6120000,0.6730000,0.5820000,0.6300000,595315900
20081203,000000,0.6390000,0.6490000,0.5970000,0.6110000,195083000
20081204,000000,0.6100000,0.6730000,0.6000000,0.6550000,601921600
20081205,000000,0.6350000,0.6830000,0.6200000,0.6570000,373959500
20081208,000000,0.7090000,0.7450000,0.6750000,0.7450000,594824900
20081209,000000,0.7300000,0.7300000,0.6740000,0.6860000,492829400
20081210,000000,0.6890000,0.6900000,0.6350000,0.6750000,489712300
20081211,000000,0.6640000,0.6790000,0.6250000,0.6450000,311412800
20081212,000000,0.6250000,0.6320000,0.5870000,0.6050000,312132200
20081215,000000,0.6230000,0.6230000,0.5950000,0.6120000,390634600
20081216,000000,0.6090000,0.6140000,0.5750000,0.5930000,274541400
20081217,000000,0.6080000,0.6490000,0.6000000,0.6450000,751776600
20081218,000000,0.6600000,0.6960000,0.6250000,0.6620000,699013500
20081219,000000,0.6600000,0.6910000,0.6410000,0.6800000,716890600
20081222,000000,0.6870000,0.6960000,0.6660000,0.6690000,531654100
20081223,000000,0.6690000,0.6790000,0.6460000,0.6690000,253963200
20081224,000000,0.6680000,0.6790000,0.6260000,0.6360000,334628900
20081225,000000,0.6390000,0.6400000,0.6060000,0.6120000,191665900
20081226,000000,0.6150000,0.6180000,0.5940000,0.5970000,155471100
20081229,000000,0.6000000,0.6080000,0.5780000,0.5910000,173196000
20081230,000000,0.5910000,0.6040000,0.5830000,0.5920000,154551300
20081231,000000,0.5980000,0.6070000,0.5890000,0.6010000,77540100
20090111,000000,0.6150000,0.6250000,0.5950000,0.6050000,72427800
20090112,000000,0.6020000,0.6510000,0.5970000,0.6510000,702600600
20090113,000000,0.6480000,0.6530000,0.6260000,0.6460000,314906800
20090114,000000,0.6500000,0.6600000,0.6120000,0.6140000,300871200
20090115,000000,0.6100000,0.6190000,0.5890000,0.5990000,245414600
20090116,000000,0.6050000,0.6300000,0.6010000,0.6050000,235110700
20090119,000000,0.6130000,0.6140000,0.5620000,0.5710000,185151200
20090120,000000,0.5700000,0.5710000,0.5050000,0.5380000,182678300
20090121,000000,0.5130000,0.5430000,0.5000000,0.5420000,156653800
20090122,000000,0.5530000,0.5550000,0.5060000,0.5140000,143315700
20090123,000000,0.5100000,0.5170000,0.4710000,0.5070000,157218700
20090126,000000,0.5120000,0.5500000,0.5050000,0.5470000,173421900
20090127,000000,0.5600000,0.6240000,0.5420000,0.6110000,737355100
20090128,000000,0.6220000,0.6500000,0.6050000,0.6400000,512081400
