<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,1965.0000000,2018.0000000,1935.1400000,2011.0000000,2927300
20070604,000000,2012.3400000,2013.9900000,1970.3600000,1993.1000000,2269565
20070605,000000,2003.7400000,2022.0000000,1960.0000000,1980.0000000,2108702
20070606,000000,1982.0000000,1994.9900000,1953.0100000,1964.5000000,1437893
20070607,000000,1959.8000000,1977.0000000,1937.6000000,1951.6200000,1718308
20070608,000000,1937.6200000,1974.0000000,1926.2200000,1956.9700000,2423873
20070609,000000,1960.0000000,1965.0000000,1947.0000000,1956.0100000,557559
20070613,000000,1948.5100000,1959.9000000,1935.0000000,1956.0000000,1187084
20070614,000000,1976.0000000,2004.0000000,1973.6000000,2001.0000000,3115741
20070615,000000,2020.0000000,2052.7000000,2005.0000000,2033.0000000,5257518
20070618,000000,2053.0000000,2054.9800000,2015.5200000,2019.4000000,1851041
20070619,000000,2023.0000000,2038.7700000,2005.0100000,2013.1100000,2336830
20070620,000000,2031.0000000,2074.4000000,2024.0000000,2073.0000000,2566377
20070621,000000,2047.3700000,2067.0000000,2035.2000000,2046.0000000,2434040
20070622,000000,2048.2200000,2055.0000000,2012.6700000,2025.0000000,1853816
20070625,000000,2006.0000000,2009.0000000,1977.0000000,1985.0000000,1282282
20070626,000000,1987.2200000,2030.9800000,1975.0000000,2019.9700000,1989985
20070627,000000,2000.0000000,2018.7700000,1979.9900000,1990.0000000,1535467
20070628,000000,2019.9900000,2029.5000000,1978.0000000,1992.4900000,2786802
20070629,000000,1999.9500000,1999.9500000,1960.1000000,1969.0000000,1846228
20070702,000000,1970.0000000,1976.9700000,1958.2600000,1963.9000000,1391347
20070703,000000,1982.0000000,2023.0000000,1982.0000000,2019.0000000,3660147
20070704,000000,2022.3100000,2029.9000000,2011.2200000,2015.0000000,1440094
20070705,000000,2025.1000000,2059.9000000,2021.0000000,2048.9000000,2467891
20070706,000000,2049.0000000,2075.9000000,2032.1500000,2073.0000000,2317027
20070709,000000,2070.0000000,2095.0000000,2070.0000000,2083.7000000,1882871
20070710,000000,2079.8000000,2088.6000000,2048.1600000,2056.0000000,3431810
20070711,000000,2041.1100000,2107.0000000,2040.0700000,2085.2000000,3507852
20070712,000000,2100.3000000,2137.7300000,2100.0000000,2136.9400000,3408099
20070713,000000,2158.2000000,2163.9300000,2136.5000000,2145.0000000,2799340
20070716,000000,2150.0000000,2159.5000000,2131.0000000,2146.0000000,2926024
20070717,000000,2134.0000000,2169.9400000,2105.2100000,2168.0000000,4150768
20070718,000000,2146.1000000,2147.0000000,2108.1500000,2138.0000000,3057043
20070719,000000,2148.0000000,2187.7700000,2148.0000000,2179.9000000,2798805
20070720,000000,2186.0000000,2195.5500000,2147.1000000,2154.9900000,2716611
20070723,000000,2131.0000000,2179.9900000,2126.2800000,2174.0000000,2167780
20070724,000000,2176.0000000,2176.0000000,2115.8900000,2117.0000000,2257444
20070725,000000,2096.2500000,2128.9800000,2083.1200000,2128.0000000,2743531
20070726,000000,2148.0000000,2154.5000000,2065.8800000,2076.7000000,4208814
20070727,000000,2020.0000000,2063.0000000,1999.0000000,2030.0000000,4158362
20070730,000000,2024.9000000,2058.4000000,2002.4000000,2033.0000000,2949700
20070731,000000,2050.9900000,2069.0000000,2045.0100000,2058.2000000,2100016
20070801,000000,2010.2300000,2011.8000000,1978.7200000,1993.0000000,3109623
20070802,000000,2006.1000000,2012.2000000,1995.1700000,2010.0100000,2011058
