<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,24.0400000,24.8900000,24.0400000,24.4000000,592300
20070604,000000,24.5300000,24.8500000,24.0000000,24.6000000,131600
20070605,000000,24.5990000,24.7990000,24.2190000,24.4000000,277300
20070606,000000,24.1200000,24.6930000,24.0200000,24.6000000,220900
20070607,000000,24.7200000,24.8000000,24.2520000,24.5000000,71500
20070608,000000,24.2600000,25.1000000,23.8100000,24.8000000,3888800
20070609,000000,24.7000000,25.0000000,24.6130000,24.9000000,258500
20070613,000000,25.0000000,25.4900000,24.8510000,25.2500000,1329000
20070614,000000,25.3010000,26.0000000,25.1000000,25.7000000,1549000
20070615,000000,26.0000000,26.8000000,25.2000000,26.7540000,1949100
20070618,000000,26.7500000,27.9000000,26.7500000,27.2100000,862900
20070619,000000,27.3000000,27.5400000,26.8600000,27.2000000,706200
20070620,000000,27.2000000,27.8420000,27.1700000,27.6000000,772100
20070621,000000,27.1700000,28.0980000,27.0000000,27.6000000,1803400
20070622,000000,27.3500000,27.8990000,27.3500000,27.4000000,239700
20070625,000000,27.2400000,27.2760000,26.7290000,26.7290000,173600
20070626,000000,27.1500000,27.1500000,26.7010000,26.8000000,625400
20070627,000000,27.1000000,27.1000000,26.3330000,26.5870000,2118300
20070628,000000,26.9000000,26.9490000,26.0100000,26.0700000,734800
20070629,000000,26.0800000,26.2900000,25.7990000,26.0500000,1813300
20070702,000000,26.0400000,26.6900000,25.8000000,25.8610000,909100
20070703,000000,26.1900000,26.6200000,26.0010000,26.4000000,1938900
20070704,000000,26.6890000,26.8500000,26.4100000,26.8500000,697100
20070705,000000,26.8500000,28.4000000,26.7770000,28.3960000,2523600
20070706,000000,28.4980000,28.8000000,27.8020000,28.2300000,913300
20070709,000000,28.4920000,29.2000000,28.0010000,29.0000000,1184400
20070710,000000,29.1700000,29.8900000,28.5000000,28.8030000,1679400
20070711,000000,28.7020000,29.0000000,28.2200000,28.9000000,886100
20070712,000000,28.9000000,30.4000000,28.9000000,30.0000000,1614700
20070713,000000,30.4990000,30.9500000,30.0000000,30.0000000,2142900
20070716,000000,29.9000000,30.8000000,29.6700000,30.0990000,763100
20070717,000000,29.8000000,29.8890000,28.5600000,29.5000000,370800
20070718,000000,29.2580000,29.2850000,28.4510000,28.8290000,657300
20070719,000000,29.1870000,29.8900000,28.9800000,29.4100000,1544900
20070720,000000,29.7000000,29.9990000,29.2160000,29.3500000,298500
20070723,000000,29.0000000,29.9000000,28.5000000,29.2000000,1570700
20070724,000000,29.2760000,29.8000000,28.8030000,28.8030000,1313900
20070725,000000,28.6000000,29.0000000,28.6000000,29.0000000,1181200
20070726,000000,29.2000000,29.3000000,28.5300000,28.8000000,691900
20070727,000000,28.5100000,28.7100000,27.8300000,28.0330000,1576600
20070730,000000,28.1000000,28.4890000,27.7600000,28.1010000,682500
20070731,000000,27.8200000,29.1200000,27.8200000,29.1100000,783800
20070801,000000,28.5100000,28.6600000,27.9220000,28.4000000,705000
20070802,000000,28.6170000,28.8890000,28.2600000,28.8890000,147900
20070803,000000,29.1540000,29.6000000,28.7700000,29.4500000,1027700
20070806,000000,29.0010000,29.7200000,28.7500000,29.2500000,413800
20070807,000000,29.4480000,29.4480000,28.5100000,28.7000000,551600
20070808,000000,28.9700000,29.2200000,28.7010000,28.9800000,443500
20070809,000000,29.1510000,29.2200000,28.1380000,28.5000000,523400
20070810,000000,28.0530000,28.7500000,27.3500000,28.5010000,411900
20070813,000000,28.6500000,28.8600000,28.2200000,28.5000000,635000
20070814,000000,28.4000000,28.7400000,28.0140000,28.1000000,918200
20070815,000000,28.0110000,28.1000000,27.0010000,27.2000000,975500
20070816,000000,27.5000000,27.5000000,25.3900000,26.4000000,742800
20070817,000000,25.8100000,26.7500000,24.2000000,25.9900000,1937200
20070820,000000,26.2700000,26.5800000,25.2000000,25.4000000,914300
20070821,000000,25.6000000,25.8700000,25.1000000,25.4000000,660800
20070822,000000,25.4000000,26.1300000,25.4000000,26.1280000,1643100
20070823,000000,26.2700000,27.1950000,26.2700000,26.9570000,1065600
20070824,000000,26.9570000,27.8500000,26.5000000,27.6360000,690400
20070827,000000,27.8700000,27.9910000,27.5510000,27.6200000,1632000
20070828,000000,27.5980000,27.8100000,27.0000000,27.4550000,250700
20070829,000000,27.1000000,27.4470000,26.9000000,27.3000000,92100
20070830,000000,27.4700000,27.9000000,27.0060000,27.3500000,61400
20070831,000000,27.5000000,28.6300000,27.5000000,28.5010000,1958200
20070903,000000,28.6000000,28.8000000,28.3000000,28.3500000,287900
20070904,000000,28.3900000,28.3900000,27.6500000,27.6570000,4128000
20070905,000000,27.8000000,27.9990000,27.6550000,27.8000000,1695500
20070906,000000,27.8000000,28.0000000,27.7030000,27.8000000,836700
20070907,000000,27.7100000,27.9500000,27.4110000,27.6890000,2099900
20070910,000000,27.2010000,27.6990000,27.2010000,27.3800000,368600
20070911,000000,27.3400000,27.6500000,27.0050000,27.0500000,227600
20070912,000000,27.7000000,27.7890000,26.3330000,26.3330000,505100
20070913,000000,26.7890000,27.2700000,26.5510000,27.2700000,755600
20070914,000000,27.3790000,27.5600000,27.2000000,27.3980000,1576000
20070917,000000,27.3990000,27.5900000,26.8000000,26.9000000,400300
20070918,000000,27.1000000,27.4900000,26.5220000,26.9400000,642400
20070919,000000,27.3900000,31.2000000,27.3900000,28.1000000,1476300
20070920,000000,28.2500000,28.3650000,27.8100000,28.2000000,449300
20070921,000000,27.8600000,29.2700000,27.8600000,28.9500000,1783200
20070924,000000,29.0000000,29.4590000,28.2500000,28.7500000,649900
20070925,000000,28.7500000,28.9000000,28.0400000,28.1100000,1480500
20070926,000000,28.2500000,28.6980000,28.0990000,28.4800000,1322400
20070927,000000,28.4800000,28.8950000,28.3010000,28.3990000,2618100
20070928,000000,28.5000000,28.8080000,28.4000000,28.8000000,2205100
20071001,000000,28.6110000,28.8000000,28.2550000,28.8000000,326600
20071002,000000,28.8700000,30.2000000,28.5100000,29.8500000,1844600
20071003,000000,29.8990000,30.4000000,29.5000000,29.9000000,2391400
20071004,000000,29.8780000,29.8790000,28.8500000,29.1990000,1289200
20071005,000000,29.4700000,29.8000000,29.2000000,29.4590000,3080800
20071008,000000,29.5000000,30.0010000,29.1620000,29.7500000,1529700
20071009,000000,29.4200000,30.6990000,29.2710000,30.5000000,2946200
20071010,000000,30.7000000,31.5000000,30.5000000,31.4000000,4872900
20071011,000000,31.6700000,32.0000000,31.0110000,31.5910000,1014200
20071012,000000,30.5990000,31.1900000,30.4000000,30.7000000,1508000
