<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,1083.0000000,1100.0000000,1065.0000000,1080.0300000,5226
20070604,000000,1086.0000000,1086.0000000,1070.0000000,1070.0000000,794
20070605,000000,1069.0000000,1071.0100000,1060.0000000,1061.0000000,2403
20070606,000000,1060.0000000,1060.0000000,1035.0000000,1035.0000000,2159
20070607,000000,1038.9600000,1099.0000000,1037.6100000,1060.0000000,830
20070608,000000,1020.0000000,1050.0000000,1010.0100000,1050.0000000,2915
20070609,000000,1050.0000000,1090.0000000,1049.0100000,1060.0000000,520
20070613,000000,1055.0000000,1060.0000000,1043.0000000,1045.1100000,2752
20070614,000000,1050.0000000,1050.0000000,1040.0000000,1042.0000000,4230
20070615,000000,1040.0000000,1045.0000000,1030.0000000,1043.0000000,9425
20070618,000000,1039.0000000,1040.0000000,1035.0000000,1040.0000000,2217
20070619,000000,1035.0000000,1065.0000000,1034.0000000,1043.0000000,12864
20070620,000000,1048.0000000,1120.0000000,1048.0000000,1115.0000000,7411
20070621,000000,1060.0000000,1144.5900000,1060.0000000,1135.0000000,8492
20070622,000000,1135.0000000,1147.0000000,1135.0000000,1135.2000000,850
20070625,000000,1140.0000000,1140.0000000,1100.0000000,1125.0000000,7609
20070626,000000,1104.2500000,1132.0000000,1104.2500000,1121.0000000,2149
20070627,000000,1115.0000000,1130.0000000,1115.0000000,1118.0000000,21664
20070628,000000,1124.0000000,1135.0000000,1124.0000000,1130.0000000,1468
20070629,000000,1127.0000000,1140.0000000,1110.0000000,1129.0000000,1723
20070702,000000,1130.0000000,1145.0000000,1124.0000000,1132.0000000,4010
20070703,000000,1132.0000000,1144.0000000,1130.0000000,1144.0000000,7733
20070704,000000,1142.0000000,1142.0000000,1124.0000000,1141.3300000,926
20070705,000000,1141.3300000,1154.0000000,1130.0000000,1142.0000000,12159
20070706,000000,1150.0000000,1153.0000000,1145.0000000,1150.0000000,5298
20070709,000000,1153.0000000,1170.0000000,1153.0000000,1156.0500000,1046
20070710,000000,1165.0000000,1176.0000000,1155.0000000,1165.0000000,2579
20070711,000000,1155.0200000,1190.0000000,1155.0100000,1190.0000000,4421
20070712,000000,1185.0000000,1213.0000000,1177.0000000,1205.0000000,10400
20070713,000000,1201.0000000,1225.0000000,1181.9500000,1213.0000000,7423
20070716,000000,1205.0000000,1214.9000000,1200.0000000,1214.0000000,6162
20070717,000000,1220.0000000,1220.0000000,1200.0000000,1210.0000000,4581
20070718,000000,1219.9900000,1219.9900000,1199.0000000,1199.0000000,5389
20070719,000000,1196.9000000,1215.0000000,1195.0000000,1211.0000000,10065
20070720,000000,1205.0000000,1211.9900000,1200.0000000,1205.0000000,11168
20070723,000000,1210.0000000,1220.0000000,1200.0000000,1205.0000000,3254
20070724,000000,1201.0200000,1220.0000000,1201.0200000,1201.1100000,5333
20070725,000000,1201.0000000,1239.0000000,1180.0000000,1204.0100000,9208
20070726,000000,1203.9800000,1210.0000000,1200.0000000,1200.0000000,909
20070727,000000,1185.0000000,1191.0000000,1180.0000000,1180.0000000,4995
20070730,000000,1190.0000000,1193.0000000,1151.0100000,1151.0200000,2327
20070731,000000,1164.9700000,1191.0000000,1150.0000000,1191.0000000,4108
20070801,000000,1191.0000000,1191.0000000,1100.0200000,1164.0000000,2279
20070802,000000,1151.0000000,1190.0000000,1151.0000000,1190.0000000,746
20070803,000000,1199.9900000,1205.0000000,1155.1700000,1155.1700000,816
20070806,000000,1163.1300000,1168.9800000,1130.0000000,1168.9800000,1487
20070807,000000,1181.0000000,1182.2500000,1130.0000000,1135.0200000,5235
20070808,000000,1144.0000000,1157.0000000,1144.0000000,1157.0000000,2592
20070809,000000,1158.0000000,1159.9900000,1130.1000000,1140.0000000,1471
20070810,000000,1140.0000000,1150.0000000,1118.0000000,1122.0000000,1385
20070813,000000,1158.1400000,1158.1400000,1118.0000000,1122.0100000,1400
20070814,000000,1120.0100000,1125.0200000,1115.0000000,1120.0000000,2426
20070815,000000,1115.9900000,1116.0000000,1110.0000000,1110.0000000,5721
20070816,000000,1105.0000000,1105.0000000,1021.0000000,1032.0000000,4291
20070817,000000,1030.0000000,1055.0000000,1012.0000000,1050.5000000,5180
20070820,000000,1055.0000000,1055.0000000,1040.0000000,1050.0000000,819
20070821,000000,1050.0000000,1055.0000000,1031.0000000,1035.0000000,6931
20070822,000000,1033.0000000,1060.0000000,1033.0000000,1041.0000000,18716
20070823,000000,1045.0000000,1050.0000000,1040.0000000,1045.0000000,10867
20070824,000000,1030.0100000,1062.0000000,1030.0100000,1050.0000000,16000
20070827,000000,1050.0000000,1075.0000000,1040.0000000,1040.0000000,3641
20070828,000000,1040.0000000,1059.9900000,1021.0100000,1030.0000000,4077
20070829,000000,1026.0000000,1054.9500000,1020.0000000,1030.0000000,3956
20070830,000000,1035.0000000,1050.0000000,1025.0000000,1030.0000000,2901
20070831,000000,1030.0000000,1058.0000000,1021.0000000,1058.0000000,4118
20070903,000000,1057.2100000,1065.0000000,1052.0000000,1065.0000000,4050
20070904,000000,1090.0000000,1090.0000000,1077.0000000,1083.0000000,8966
20070905,000000,1090.0000000,1099.0000000,1066.0100000,1083.5000000,10736
20070906,000000,1090.0000000,1098.0300000,1080.0000000,1091.0000000,2209
20070907,000000,1090.0000000,1090.0000000,1069.9900000,1070.0000000,4143
20070910,000000,1068.9000000,1081.0000000,1060.0000000,1081.0000000,4808
20070911,000000,1081.0000000,1095.0000000,1071.0000000,1095.0000000,3508
20070912,000000,1095.0000000,1095.0000000,1082.0000000,1087.0000000,2159
20070913,000000,1080.2000000,1090.0000000,1066.0300000,1072.0000000,3515
20070914,000000,1070.0000000,1075.9900000,1055.0000000,1070.0000000,1181
