<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,242.0000000,242.2000000,239.0000000,241.0000000,1645542
20070604,000000,242.0000000,242.5000000,237.0100000,239.0000000,746896
20070605,000000,239.0000000,241.4900000,238.0000000,239.4700000,863852
20070606,000000,239.1000000,240.9000000,236.8800000,239.4500000,347716
20070607,000000,238.0800000,239.4900000,234.5500000,235.5000000,408995
20070608,000000,233.6500000,236.0000000,231.2400000,234.7800000,628571
20070609,000000,234.7800000,236.9000000,233.3000000,234.9400000,597328
20070613,000000,236.4700000,240.5000000,234.0000000,239.7900000,1273493
20070614,000000,242.1100000,253.0000000,242.1100000,252.9200000,1551794
20070615,000000,252.9800000,253.5300000,247.5600000,252.5100000,2280548
20070618,000000,252.5500000,256.5200000,249.3500000,255.8000000,1053286
20070619,000000,254.2800000,254.7000000,252.5000000,253.0000000,1085748
20070620,000000,254.7500000,261.1800000,254.2600000,259.3700000,1631498
20070621,000000,254.2600000,261.6000000,252.7200000,257.0000000,1379369
20070622,000000,256.5000000,261.7900000,256.5000000,260.9900000,1513605
20070625,000000,258.0000000,259.5100000,255.3000000,255.7300000,455624
20070626,000000,255.0000000,257.0000000,252.7300000,255.9700000,928463
20070627,000000,253.5000000,256.0000000,252.8500000,255.4900000,380495
20070628,000000,257.0000000,259.2000000,256.4900000,256.9900000,1114447
20070629,000000,256.5200000,258.7400000,251.0000000,255.0000000,842600
20070702,000000,255.0000000,256.8800000,254.0000000,256.5000000,481773
20070703,000000,257.5000000,264.7000000,257.0900000,264.6000000,1827702
20070704,000000,264.4000000,265.6000000,262.0900000,264.7000000,745512
20070705,000000,265.5000000,272.0000000,264.5000000,268.0200000,1826806
20070706,000000,265.6500000,266.0000000,264.1500000,265.3900000,1187948
20070709,000000,269.4000000,276.0000000,269.0100000,275.8500000,2092416
20070710,000000,273.6600000,274.0000000,270.0000000,270.7000000,789734
20070711,000000,266.1100000,271.9000000,265.2000000,270.4500000,1188343
20070712,000000,273.0000000,277.7200000,272.5000000,277.4200000,1485242
20070713,000000,280.0000000,280.0000000,275.2000000,277.4000000,1037375
20070716,000000,277.4000000,277.4700000,273.9000000,275.1200000,990604
20070717,000000,274.5600000,274.5600000,268.5000000,272.9000000,513395
20070718,000000,270.1100000,272.0000000,268.0000000,270.5000000,1155791
20070719,000000,270.5000000,275.0000000,270.1000000,273.5000000,943530
20070720,000000,272.0000000,275.5000000,266.0300000,269.5000000,868066
20070723,000000,267.3300000,269.7900000,264.9800000,269.0100000,718576
20070724,000000,269.5000000,269.8900000,262.2200000,262.8000000,836011
20070725,000000,260.3000000,267.4500000,259.0000000,266.3700000,693534
20070726,000000,266.6300000,268.0000000,256.4500000,259.9900000,1064075
20070727,000000,256.4500000,260.0000000,253.4000000,258.9900000,1451631
20070730,000000,257.9900000,261.8100000,255.1500000,258.0000000,445296
20070731,000000,262.7900000,265.5000000,261.0000000,265.3000000,886360
20070801,000000,260.0000000,260.7000000,256.0100000,259.0400000,637194
20070802,000000,261.0000000,264.9700000,257.5500000,264.0000000,994657
20070803,000000,264.9900000,269.0000000,261.1000000,267.9000000,1659033
20070806,000000,262.1000000,263.7400000,261.2100000,261.7200000,1116386
20070807,000000,262.8700000,265.4900000,262.2000000,263.4000000,886356
20070808,000000,264.8000000,268.5000000,264.7900000,267.9400000,730104
20070809,000000,269.2200000,270.4500000,260.0000000,260.2500000,1129180
20070810,000000,257.0000000,259.7900000,255.0000000,258.1300000,1153241
20070813,000000,258.5800000,262.0000000,257.2000000,261.9500000,569924
20070814,000000,260.3400000,262.0000000,259.7000000,260.8000000,400242
20070815,000000,256.1300000,258.6700000,255.2100000,256.9000000,402604
20070816,000000,250.0000000,257.7200000,244.5500000,246.8200000,2084497
20070817,000000,243.0000000,252.9600000,239.0100000,250.5000000,2607021
20070820,000000,251.8000000,252.0000000,247.0900000,251.0000000,756902
20070821,000000,252.9900000,252.9900000,247.0000000,252.4000000,1128128
20070822,000000,252.7000000,258.5000000,251.4600000,258.0000000,686650
20070823,000000,260.2000000,263.4100000,260.1000000,260.8200000,1171041
20070824,000000,255.5500000,261.9500000,255.2400000,261.0100000,463159
20070827,000000,263.3000000,263.3000000,260.4500000,261.0000000,428964
20070828,000000,260.8000000,262.2000000,259.0000000,259.3900000,546620
20070829,000000,256.0000000,263.5400000,256.0000000,263.5400000,506786
20070830,000000,265.0000000,272.8900000,264.6000000,270.0100000,2967341
20070831,000000,273.0000000,280.6900000,273.0000000,280.1000000,2842208
20070903,000000,276.0000000,280.4900000,275.1500000,279.5000000,1256668
20070904,000000,279.5000000,280.0000000,275.6600000,275.8100000,1838688
20070905,000000,276.0600000,277.9800000,270.0000000,270.2300000,1257292
20070906,000000,269.9900000,275.2000000,268.8000000,272.0900000,1247022
20070907,000000,273.0000000,273.9100000,261.5200000,262.6200000,985750
20070910,000000,261.5000000,264.2000000,259.4200000,262.5000000,1053884
20070911,000000,264.0000000,267.7000000,262.6400000,267.5500000,948369
20070912,000000,267.7000000,269.4000000,263.5000000,266.7400000,2126826
20070913,000000,267.9500000,273.4300000,266.0000000,272.6000000,1289956
20070914,000000,272.5000000,275.5000000,270.5000000,274.9900000,1334759
20070917,000000,274.9900000,279.5000000,272.0000000,279.0000000,1750826
20070918,000000,277.8300000,280.6900000,277.2600000,279.8500000,1721602
20070919,000000,287.1000000,291.8900000,285.0000000,289.5800000,2196334
20070920,000000,288.8000000,288.8000000,284.2500000,286.0000000,1385981
20070921,000000,285.5100000,289.2000000,285.5100000,287.5000000,829071
20070924,000000,289.7900000,290.0000000,285.8900000,288.6300000,1011391
20070925,000000,287.2200000,287.6200000,280.5500000,283.5000000,1398808
20070926,000000,284.0000000,287.0000000,282.7300000,286.9700000,889224
20070927,000000,289.9000000,291.8900000,287.0000000,289.5000000,979247
20070928,000000,288.9900000,289.2000000,286.2000000,287.5000000,841179
20071001,000000,285.8900000,286.8600000,280.9000000,282.7000000,908910
20071002,000000,289.6000000,294.9600000,289.1000000,294.5000000,1414442
20071003,000000,291.1300000,294.5000000,287.2100000,288.8600000,1079873
20071004,000000,285.5200000,294.1500000,283.1000000,291.6800000,1143198
20071005,000000,293.4500000,304.5000000,293.4000000,303.9800000,2881988
20071008,000000,307.0100000,311.0700000,301.1600000,302.5000000,1225908
20071009,000000,300.4000000,306.8800000,299.0500000,306.4700000,830436
20071010,000000,304.8900000,306.8400000,303.1000000,304.9900000,1075646
20071011,000000,305.9700000,314.8000000,304.5600000,312.4100000,1117008
20071012,000000,306.4000000,310.3700000,305.0000000,310.0000000,590506
20071015,000000,313.0000000,316.7500000,310.0000000,310.0800000,715513
20071016,000000,307.0000000,313.1000000,305.6200000,308.5100000,426103
20071017,000000,306.5100000,312.0000000,302.5100000,309.0000000,1101108
20071018,000000,311.5100000,312.8000000,299.1900000,302.0000000,1066029
20071019,000000,301.9400000,306.9800000,299.5500000,305.1000000,690459
20071022,000000,299.0000000,301.8000000,295.1100000,298.6500000,886160
20071023,000000,301.7700000,307.9500000,301.5000000,307.1000000,771928
20071024,000000,308.1000000,311.7000000,305.1000000,309.5000000,711897
20071025,000000,310.7800000,323.9800000,310.1100000,320.0000000,2533890
20071026,000000,324.5000000,333.8000000,322.0500000,333.0000000,1904987
20071029,000000,336.0000000,344.4900000,333.0500000,333.3500000,2325474
20071030,000000,334.0000000,338.5000000,327.5100000,335.0000000,1473337
20071031,000000,332.1100000,339.4000000,330.0100000,337.5000000,1131905
20071101,000000,340.3800000,343.8000000,326.7800000,330.1000000,1620096
