<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20071106,000000,176.7000000,176.7000000,176.7000000,176.7000000,202
20071107,000000,174.2300000,174.2300000,174.2300000,174.2300000,211
20071108,000000,179.7599900,179.7599900,174.5000000,174.5000000,3
20071109,000000,172.0000000,172.0000000,172.0000000,172.0000000,97
20071112,000000,195.9700000,206.0900000,178.9400000,179.0000000,1554
20071113,000000,198.0000000,198.0000000,175.0000000,178.6499900,281
20071114,000000,198.5000000,198.5000000,165.0000000,171.0000000,2289
20071115,000000,165.9299900,195.9900100,164.5000000,189.9900100,518
20071116,000000,164.6400000,164.6400000,164.0000000,164.0000000,125
20071119,000000,160.7000000,160.7000000,160.0000000,160.7000000,77
20071120,000000,183.9100000,183.9100000,154.9400000,154.9400000,106
20071122,000000,154.8999900,154.8999900,145.9400000,150.0000000,115
20071123,000000,135.0000000,148.0000000,135.0000000,148.0000000,930
20071126,000000,135.3000000,148.0000000,135.3000000,145.5000000,118
20071127,000000,144.4400000,144.4400000,144.4400000,144.4400000,50
20071128,000000,145.1000100,145.1000100,145.1000100,145.1000100,1
20071129,000000,145.0000000,145.0000000,145.0000000,145.0000000,98
20071130,000000,149.0000000,149.0000000,149.0000000,149.0000000,75
20071204,000000,150.0000000,151.0000000,145.0000000,150.0000000,4002
20071205,000000,146.0200000,151.0000000,146.0200000,151.0000000,1510
20071206,000000,154.0000000,158.0000000,154.0000000,158.0000000,5516
20071207,000000,157.0000000,157.0000000,154.0000000,154.0000000,1600
20071210,000000,162.2000000,162.2000000,162.1900000,162.2000000,552
20071212,000000,172.0000000,172.0000000,172.0000000,172.0000000,1
20071213,000000,159.9400000,165.0000000,159.9400000,165.0000000,26
20071214,000000,165.0000000,165.0000000,161.0000000,161.0000000,25
20071217,000000,160.0000000,166.0000000,160.0000000,166.0000000,1531
20071218,000000,165.0000000,167.4500000,162.0000000,167.4500000,3451
20071219,000000,170.9900000,170.9900000,166.0000000,166.0000000,2
20071220,000000,170.0000000,170.0000000,170.0000000,170.0000000,1
20071221,000000,169.0000000,169.0000000,169.0000000,169.0000000,500
20071224,000000,171.0000000,172.0000000,171.0000000,172.0000000,657
20071225,000000,174.0000000,176.0000000,173.0000000,175.9900000,575
20071226,000000,173.0000000,177.0000000,173.0000000,173.0000000,104
20071227,000000,173.0500000,178.7200000,173.0000000,174.0000000,637
20071228,000000,178.0000000,178.3800000,178.0000000,178.3800000,1200
20080109,000000,177.0300000,177.0300000,177.0300000,177.0300000,33
20080111,000000,183.0000000,199.0000000,178.0000000,193.5000000,655
20080114,000000,183.3400000,193.0000000,181.0000000,187.0000000,1276
20080115,000000,192.4900000,192.4900000,188.9900000,188.9900000,11
20080116,000000,188.0000000,188.0000000,185.0000000,188.0000000,85
20080117,000000,187.9900000,187.9900000,176.5000000,183.7500000,206
20080118,000000,182.0000000,197.0000000,181.5100000,194.9500000,489
20080121,000000,177.5000000,186.5500000,177.2600000,186.5500000,389
20080122,000000,163.5000000,192.9900000,163.5000000,192.9900000,800
20080123,000000,171.1000000,186.0000000,170.0000000,170.0000000,1884
20080124,000000,187.0000000,187.0000000,130.0000000,170.0000000,1824
20080125,000000,170.0000000,170.0000000,168.0100000,170.0000000,982
20080128,000000,168.1100000,168.1100000,161.0000000,168.1100000,125
20080129,000000,164.0000000,164.0000000,161.0000000,164.0000000,264
20080130,000000,167.2800000,167.2800000,159.0000000,159.0000000,36
20080131,000000,159.0000000,163.0000000,157.0000000,162.0000000,705
20080201,000000,162.0000000,162.0000000,159.0000000,161.7400000,59
20080204,000000,170.0000000,170.0000000,160.0000000,164.3600000,288
20080205,000000,167.2500000,167.2500000,167.0000000,167.2500000,23
20080206,000000,170.0000000,170.0000000,160.0000000,167.5200000,1024
20080207,000000,166.7300000,167.0000000,160.0100000,160.0100000,12356
20080208,000000,168.0000000,169.0000000,167.0000000,167.0000000,14285
20080211,000000,167.0000000,175.0000000,167.0000000,168.0000000,4433
20080212,000000,170.0000000,175.0000000,167.0200000,174.5000000,109
20080213,000000,175.5000000,175.5000000,175.5000000,175.5000000,15
20080214,000000,170.0000000,188.0000000,170.0000000,175.0000000,614
20080215,000000,175.5000000,178.3800000,170.0100000,170.0100000,16
20080218,000000,177.0000000,180.0000000,170.0100000,174.5000000,845
20080219,000000,173.9800000,175.0000000,173.9800000,174.7500000,1527
20080220,000000,172.0000000,180.0000000,172.0000000,176.0500000,11213
20080221,000000,175.0100000,177.0000000,175.0100000,177.0000000,71
20080222,000000,175.0000000,176.0000000,175.0000000,176.0000000,1394
20080226,000000,178.4700000,178.4700000,175.5000000,177.0000000,260
20080227,000000,177.0000000,179.3100000,177.0000000,179.3100000,1865
20080228,000000,177.0000000,180.0000000,172.3900000,180.0000000,706
20080229,000000,180.0000000,180.6000000,172.0000000,172.0200000,2433
20080303,000000,175.0000000,178.0000000,136.0200000,175.0000000,3814
20080304,000000,176.0000000,179.9900000,175.0000000,179.9900000,217
20080305,000000,185.0000000,188.0000000,183.0000000,188.0000000,2973
20080306,000000,193.0000000,194.2500000,193.0000000,194.2500000,116
20080307,000000,195.0000000,195.0000000,185.7100000,188.0000000,403
20080311,000000,190.0000000,195.6500000,187.0000000,195.6500000,158
20080312,000000,187.0000000,187.5000000,187.0000000,187.5000000,1465
20080313,000000,187.0000000,189.6800000,185.0000000,189.0000000,137
20080314,000000,189.0000000,193.0000000,189.0000000,192.0000000,34934
20080317,000000,192.0000000,192.0000000,187.0100000,187.0100000,1065
20080318,000000,188.0000000,188.0000000,183.3000000,185.3500000,536
20080319,000000,184.0000000,184.0000000,184.0000000,184.0000000,500
20080320,000000,184.0000000,184.0000000,180.0000000,180.0000000,1025
20080321,000000,182.0000000,190.0000000,182.0000000,190.0000000,39
20080324,000000,175.0000000,188.0000000,175.0000000,188.0000000,1185
20080325,000000,184.0000000,187.0000000,184.0000000,187.0000000,201
20080326,000000,183.0000000,184.0500000,183.0000000,184.0000000,1722
20080327,000000,185.0000000,185.0000000,176.7100000,180.0000000,901
20080328,000000,180.0000000,180.0000000,177.0000000,177.0000000,236
20080331,000000,175.0000000,175.0000000,173.0000000,175.0000000,605
20080401,000000,165.1000000,179.0000000,165.1000000,178.5000000,21
20080402,000000,178.0000000,178.0000000,177.9900000,178.0000000,280
20080403,000000,177.0100000,179.0000000,177.0100000,179.0000000,23
20080404,000000,178.0000000,178.0000000,178.0000000,178.0000000,1
20080407,000000,178.9900000,178.9900000,177.1000000,178.0000000,45
20080408,000000,176.0000000,176.0000000,176.0000000,176.0000000,2
20080409,000000,177.0000000,177.0000000,177.0000000,177.0000000,100
20080411,000000,179.0000000,179.0000000,168.5000000,170.0000000,49
20080414,000000,170.0000000,172.0000000,170.0000000,172.0000000,20
20080415,000000,173.0000000,173.0000000,172.8000000,173.0000000,4338
20080416,000000,170.2400000,170.2400000,160.0000000,162.0000000,2015
20080417,000000,162.0200000,164.9000000,160.0000000,164.9000000,530
20080418,000000,164.5000000,164.5000000,164.0000000,164.5000000,114
20080421,000000,166.0000000,166.0000000,163.0000000,166.0000000,107
20080422,000000,165.0000000,165.0000000,160.0100000,164.5000000,152
20080423,000000,161.0300000,169.0000000,161.0200000,168.0000000,1060
20080424,000000,169.7300000,176.0000000,169.2100000,176.0000000,11540
20080425,000000,175.0000000,179.0000000,174.8500000,178.0000000,120
20080428,000000,176.0000000,179.0000000,176.0000000,178.0000000,1089
20080429,000000,179.0000000,186.0000000,179.0000000,184.0000000,2222
20080430,000000,189.5000000,189.9900000,179.2200000,183.8400000,273
20080504,000000,181.0100000,182.5000000,160.0100000,182.5000000,4499
20080505,000000,182.0000000,183.0400000,182.0000000,183.0400000,2518
20080506,000000,182.0000000,182.5000000,176.0000000,181.5000000,8104
20080507,000000,181.9800000,182.0000000,181.0000000,182.0000000,2505
20080508,000000,182.5000000,187.0000000,182.0000000,186.5000000,8240
20080512,000000,184.0100000,190.0000000,184.0000000,190.0000000,666
20080513,000000,184.5100000,190.0000000,184.5000000,185.6000000,6672
20080514,000000,186.0000000,199.9800000,180.0000000,199.8900000,5490
20080515,000000,195.0000000,201.0000000,194.0000000,199.9900000,596
20080516,000000,201.2100000,225.0000000,201.2100000,211.0500000,7497
20080519,000000,216.0000000,216.0000000,202.0300000,208.5000000,1536
20080520,000000,203.1500000,205.0000000,201.5500000,205.0000000,4654
20080521,000000,202.0000000,210.0000000,200.0000000,201.0000000,723
20080522,000000,199.0000000,202.9900000,198.0000000,202.9900000,672
20080523,000000,199.0000000,214.0000000,199.0000000,200.0100000,1134
20080526,000000,215.0000000,215.0000000,189.0000000,200.0000000,3830
20080527,000000,203.0000000,203.0000000,197.0000000,200.0000000,3217
20080528,000000,212.0000000,212.0000000,187.9100000,200.9900000,1033
20080529,000000,203.7500000,203.8600000,202.6500000,203.0000000,762
20080530,000000,210.4900000,210.4900000,200.6600000,203.0000000,242
20080602,000000,202.0000000,205.0000000,198.0000000,203.0000000,6785
20080603,000000,203.0000000,210.0000000,202.0000000,206.5000000,289
20080604,000000,210.0000000,210.0000000,203.0100000,205.5100000,1872
20080605,000000,205.0100000,209.9900000,202.5000000,203.0000000,720
20080606,000000,209.9800000,209.9900000,201.0000000,206.0000000,791
20080607,000000,198.5100000,206.8500000,198.5100000,206.8500000,9
20080609,000000,205.0000000,210.0000000,200.0100000,204.8400000,3201
20080610,000000,202.7500000,203.5000000,200.0000000,200.0000000,4895
20080611,000000,205.7400000,212.1000000,205.7400000,207.0000000,5111
20080616,000000,209.9900000,227.5000000,207.4000000,208.7500000,6541
20080617,000000,207.0100000,210.0000000,207.0000000,209.0000000,1060
20080618,000000,207.5100000,208.5000000,207.5000000,208.5000000,135
20080619,000000,207.5100000,207.5100000,202.5300000,207.0000000,13
20080620,000000,206.9900000,207.0000000,200.0100000,203.0000000,1105
20080623,000000,203.0000000,206.0000000,202.1500000,206.0000000,557
20080624,000000,203.0200000,203.5000000,200.0000000,200.0000000,9945
20080625,000000,200.0000000,201.0000000,200.0000000,200.0000000,2173
20080626,000000,198.0100000,199.9800000,195.0000000,198.0000000,664
20080627,000000,199.9900000,202.0000000,195.0200000,195.0200000,3657
20080630,000000,196.0000000,196.0000000,193.0500000,194.9900000,134
20080701,000000,192.9900000,192.9900000,192.9900000,192.9900000,1
20080702,000000,188.5000000,188.5000000,187.5000000,187.5000000,515
20080703,000000,185.0000000,187.0000000,182.0000000,183.0000000,51
20080704,000000,183.0000000,183.0000000,182.0000000,182.0000000,433
20080707,000000,165.0000000,190.0000000,165.0000000,186.5000000,3624
20080708,000000,181.2200000,187.8900000,181.2200000,187.8900000,4
20080709,000000,182.8100000,184.5000000,182.7500000,184.0000000,1346
20080710,000000,186.9900000,187.0000000,186.9400000,187.0000000,1028
20080711,000000,188.0000000,188.0000000,182.0000000,182.0000000,4527
20080714,000000,183.5000000,183.5000000,183.5000000,183.5000000,4
20080715,000000,183.0000000,183.0000000,183.0000000,183.0000000,37
20080716,000000,181.0000000,194.6200000,165.0000000,179.0000000,1021
20080717,000000,180.0000000,180.0000000,179.0000000,179.0000000,1003
20080718,000000,180.0000000,180.0000000,180.0000000,180.0000000,1
20080721,000000,181.9900000,181.9900000,177.0000000,177.0000000,171
20080722,000000,177.0000000,177.0000000,171.6000000,171.6000000,1408
20080723,000000,171.6000000,171.6000000,170.7000000,171.5900000,509
20080724,000000,172.1900000,172.1900000,172.1900000,172.1900000,2
20080725,000000,169.0000000,169.0000000,161.1500000,163.0000000,1519
20080729,000000,161.0100000,161.9200000,150.9900000,160.0000000,813
20080730,000000,180.0000000,212.9900000,150.1500000,160.0000000,18
20080731,000000,165.0000000,165.0000000,163.0000000,163.0000000,76
20080801,000000,150.1500000,161.0000000,150.1500000,160.0000000,1500
20080804,000000,165.0100000,165.0100000,146.0400000,149.0000000,1101
20080805,000000,146.0600000,146.0600000,137.0100000,142.0000000,374
20080806,000000,143.0000000,143.0000000,140.2000000,143.0000000,755
20080807,000000,143.0000000,143.0000000,138.5000000,138.5000000,395
20080808,000000,140.1900000,143.0000000,140.1800000,140.1800000,22
20080811,000000,140.1800000,141.5000000,140.0000000,140.0000000,1256
20080812,000000,141.0100000,150.0000000,141.0000000,150.0000000,982
20080813,000000,144.0100000,168.3700000,144.0000000,146.9900000,3169
20080814,000000,151.0000000,151.0000000,145.0100000,145.0100000,2193
20080815,000000,150.5000000,151.0000000,150.5000000,150.9900000,195
20080818,000000,146.0100000,150.0000000,146.0000000,150.0000000,348
20080819,000000,146.0100000,146.0100000,142.0000000,146.0000000,362
20080820,000000,146.5000000,146.5000000,146.5000000,146.5000000,6
20080821,000000,142.0300000,143.0000000,140.4000000,143.0000000,1108
20080822,000000,142.0100000,143.9900000,142.0000000,143.9900000,402
20080825,000000,143.7000000,143.7000000,141.0000000,141.0000000,1060
20080826,000000,142.0000000,142.0000000,141.0000000,141.0000000,548
20080827,000000,141.0000000,142.0000000,141.0000000,142.0000000,34
20080828,000000,141.4500000,141.4500000,139.0000000,141.4500000,547
20080829,000000,140.0000000,140.0000000,138.0000000,138.0000000,35
20080901,000000,136.2700000,136.2700000,131.0500000,134.9000000,683
20080902,000000,128.0100000,130.0000000,121.0100000,128.9900000,3468
20080903,000000,128.9900000,128.9900000,125.0000000,128.9900000,95
20080904,000000,125.0600000,136.0000000,125.0500000,129.0000000,222
20080905,000000,127.8800000,127.9900000,125.1000000,126.0700000,653
20080908,000000,129.0000000,129.0000000,129.0000000,129.0000000,5
20080909,000000,130.0000000,130.0000000,130.0000000,130.0000000,1
20080910,000000,130.0000000,130.0000000,100.0500000,123.0000000,14
20080911,000000,125.0000000,125.0000000,103.0000000,103.0000000,7886
20080912,000000,106.0000000,107.0000000,104.9900000,105.0000000,130
20080915,000000,101.0300000,102.0000000,90.5000000,102.0000000,10344
20080916,000000,102.0000000,102.0000000,80.0000000,80.0000000,1176
20080917,000000,95.0000000,95.0000000,85.0000000,88.0000000,210
20080919,000000,85.6000000,85.6000000,77.8000000,80.0000000,8636
20080922,000000,88.0000000,88.0000000,80.0000000,83.0000000,10378
20080923,000000,83.0100000,86.1000000,79.9900000,82.0000000,3052
20080924,000000,85.0000000,85.0000000,80.6800000,80.6800000,113
20080925,000000,83.0000000,83.0100000,79.9900000,80.0000000,16639
20080926,000000,81.0000000,81.0000000,78.9100000,78.9200000,131
20080929,000000,89.0000000,89.0000000,72.0000000,72.0000000,5948
20080930,000000,73.0100000,73.0100000,56.2200000,69.0000000,1772
20081001,000000,74.8900000,74.8900000,64.4100000,64.4100000,126
20081002,000000,80.0000000,80.0000000,60.0200000,60.0200000,21993
20081003,000000,69.9900000,69.9900000,52.0100000,52.0100000,2957
20081006,000000,57.0000000,57.0000000,51.0000000,51.0000000,2888
20081007,000000,55.0000000,55.0000000,53.0000000,54.9900000,1289
20081008,000000,69.0000000,69.0000000,51.0000000,51.0000000,31
20081009,000000,59.9900000,60.0000000,52.1000000,52.5000000,3945
20081013,000000,54.0100000,54.0100000,48.0000000,48.0000000,5005
20081014,000000,51.0000000,51.0000000,50.0000000,51.0000000,3691
20081015,000000,50.1000000,51.0000000,49.5000000,49.5100000,1779
20081016,000000,49.0000000,50.0100000,46.9000000,46.9000000,9210
20081017,000000,50.0000000,50.0000000,45.0000000,48.0000000,12421
20081020,000000,45.0000000,45.0000000,34.9900000,35.0000000,4977
20081022,000000,36.0000000,36.0000000,24.8000000,24.8000000,9601
20081024,000000,25.0000000,25.0200000,24.0000000,24.0000000,35409
20081028,000000,24.5000000,24.5000000,18.0000000,18.0000000,156789
20081030,000000,21.0000000,25.0000000,20.8000000,23.7700000,14723
20081101,000000,23.7700000,31.9900000,23.7700000,31.9900000,14678
20081106,000000,29.0000000,34.0000000,26.0000000,28.5000000,68001
20081107,000000,28.0000000,30.0000000,25.6500000,28.4900000,18098
20081110,000000,26.2100000,30.0000000,26.2100000,30.0000000,355862
20081111,000000,29.9900000,29.9900000,27.0100000,28.5000000,3817
20081113,000000,26.3000000,26.3000000,23.0000000,24.0000000,4423
20081114,000000,25.3300000,33.3300000,25.3300000,28.5000000,57201
20081117,000000,27.0700000,27.4000000,26.4100000,27.4000000,4201
20081118,000000,28.1000000,28.1000000,23.2200000,26.9900000,2915
20081119,000000,26.5100000,27.4000000,25.0000000,25.0000000,760
20081120,000000,25.9300000,25.9300000,21.9000000,24.5000000,16096
20081121,000000,25.0000000,25.0000000,20.0300000,23.0500000,3741
20081124,000000,24.2000000,24.2000000,22.4000000,24.0000000,5113
20081125,000000,24.9000000,24.9000000,23.8900000,24.7600000,1476
20081126,000000,24.0100000,24.8000000,24.0100000,24.3500000,65
20081127,000000,24.7900000,27.9000000,24.1000000,24.3100000,6702
20081128,000000,25.5300000,26.0000000,24.0500000,26.0000000,2630
20081201,000000,27.0000000,27.0000000,24.7100000,26.4000000,1741
20081202,000000,24.9900000,25.4000000,24.7500000,25.0000000,137
20081203,000000,25.5000000,26.0000000,24.1800000,26.0000000,232
20081204,000000,23.4000000,25.9000000,23.4000000,25.0000000,6203
20081205,000000,27.0000000,27.0000000,23.0000000,24.0000000,7888
20081208,000000,24.5000000,25.3000000,23.8100000,24.0000000,11809
20081209,000000,24.8900000,24.8900000,23.0000000,24.6900000,4330
20081210,000000,24.4000000,24.4000000,24.1000000,24.1000000,7890
20081211,000000,24.1100000,25.4900000,21.0000000,24.2000000,8830
20081212,000000,24.2000000,25.0900000,23.9200000,24.7000000,1705
20081215,000000,24.9000000,24.9900000,24.0500000,24.9900000,2941
20081216,000000,24.9000000,28.9000000,23.0000000,24.0000000,13917
20081217,000000,24.0000000,24.3100000,23.9000000,24.1000000,4627
20081218,000000,24.0000000,24.0000000,23.6000000,23.6500000,5447
20081219,000000,20.3400000,24.8900000,20.3400000,23.8000000,1267
20081222,000000,24.0000000,24.7000000,23.9500000,24.0000000,2987
20081223,000000,24.5000000,25.0000000,23.0000000,24.9900000,10443
20081224,000000,24.9000000,27.0000000,24.1000000,25.1600000,6240
20081225,000000,25.0100000,25.5000000,25.0100000,25.5000000,326
20081226,000000,25.3100000,25.9900000,25.1100000,25.8800000,2298
20081229,000000,25.7500000,26.0000000,24.1300000,26.0000000,2279
20081230,000000,25.0100000,26.0000000,24.7500000,25.0000000,2683
20081231,000000,25.3000000,25.5000000,25.3000000,25.5000000,28351
20090111,000000,25.9000000,27.0000000,25.9000000,26.4000000,44343
20090112,000000,26.4000000,28.0000000,26.4000000,27.9000000,33619
20090113,000000,27.0100000,28.5000000,27.0000000,28.5000000,18438
20090114,000000,28.7900000,29.0000000,28.0000000,28.7100000,2378
20090115,000000,28.5000000,28.5000000,26.5000000,28.4900000,152
20090116,000000,27.3300000,28.7000000,27.3200000,27.9900000,243
20090119,000000,27.7000000,30.0000000,26.7500000,29.6800000,6743
20090120,000000,28.2000000,29.9900000,27.2800000,29.8800000,772
20090121,000000,27.0300000,31.3500000,24.0100000,28.5000000,3405
20090122,000000,27.0500000,31.0000000,27.0500000,27.5100000,4845
20090123,000000,27.5100000,27.5100000,25.0000000,25.4800000,10284
20090126,000000,25.4500000,26.0000000,25.1000000,25.8000000,6562
20090127,000000,25.5000000,26.5000000,25.5000000,25.8000000,1602
20090128,000000,25.2600000,26.2000000,25.2600000,25.6100000,1033
20090129,000000,26.2100000,26.3900000,26.0200000,26.2000000,67109
20090130,000000,25.2200000,26.2000000,25.2200000,25.3000000,160
20090202,000000,25.1100000,25.5000000,25.0000000,25.4000000,2177
20090203,000000,25.1000000,25.9500000,24.9600000,25.0400000,141860
20090204,000000,25.2500000,25.2500000,25.2500000,25.2500000,11
20090205,000000,25.4400000,25.4400000,25.0000000,25.0000000,12
20090206,000000,25.5000000,25.5100000,25.0000000,25.4800000,19853
20090209,000000,25.7700000,25.8500000,25.2500000,25.8500000,3430
