<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,70.0200000,71.5000000,69.3600000,71.5000000,128300
20070604,000000,71.5000000,72.8900000,69.5300000,70.3800000,129600
20070605,000000,70.8600000,72.5000000,70.1700000,71.5000000,183800
20070606,000000,71.9400000,71.9400000,70.5000000,70.6000000,153400
20070607,000000,70.9500000,71.3100000,68.5500000,69.9900000,316600
20070608,000000,69.5000000,70.7200000,69.5000000,70.5500000,78300
20070609,000000,70.7100000,71.0000000,70.0500000,70.4000000,25300
20070613,000000,70.9000000,73.4000000,69.7300000,73.3000000,376800
20070614,000000,73.0000000,75.7000000,72.5000000,75.0000000,180300
20070615,000000,75.0000000,76.7000000,73.1500000,76.0200000,206000
20070618,000000,76.4200000,78.4500000,76.2600000,78.3000000,226900
20070619,000000,78.3000000,79.0200000,76.9500000,78.0000000,329800
20070620,000000,76.5000000,79.9800000,76.0100000,79.0100000,711700
20070621,000000,78.7000000,80.0000000,77.0400000,78.2000000,919400
20070622,000000,77.8100000,79.2100000,76.6200000,77.0000000,82100
20070625,000000,77.1000000,77.4300000,75.5600000,76.3000000,32600
20070626,000000,75.3200000,76.8000000,75.3200000,76.5000000,171700
20070627,000000,77.0000000,78.4900000,74.5500000,75.0500000,243600
20070628,000000,75.9000000,76.9800000,75.9000000,76.5000000,251800
20070629,000000,76.1500000,77.3100000,75.0000000,76.5000000,83500
20070702,000000,76.6000000,77.0000000,75.6100000,76.3000000,175300
20070703,000000,76.6100000,79.2200000,75.6300000,79.1800000,257200
20070704,000000,79.5300000,80.8400000,78.5000000,79.4000000,191000
20070705,000000,80.0000000,83.9300000,79.6000000,81.3300000,1018200
20070706,000000,81.9900000,82.5000000,80.0000000,81.3900000,201600
20070709,000000,81.4000000,84.8900000,81.4000000,83.9000000,509800
20070710,000000,84.9900000,84.9900000,82.2000000,82.6800000,372000
20070711,000000,83.1700000,84.3000000,81.8000000,84.2000000,293000
20070712,000000,84.8900000,90.4900000,84.8900000,90.1500000,631100
20070713,000000,90.4000000,91.4500000,88.0400000,90.0000000,246000
20070716,000000,89.9200000,90.4900000,88.2500000,88.7000000,112100
20070717,000000,88.7000000,88.7000000,86.4500000,87.4200000,398500
20070718,000000,87.7600000,89.3000000,85.9900000,87.0000000,414500
20070719,000000,87.9000000,89.0000000,86.9500000,87.4400000,1374800
20070720,000000,86.9100000,87.7000000,86.0000000,86.1000000,188900
20070723,000000,85.0000000,87.1700000,84.7000000,86.5000000,436500
20070724,000000,86.0000000,87.0000000,84.3000000,85.0000000,107600
20070725,000000,84.0000000,87.0000000,83.7300000,85.5000000,205200
20070726,000000,86.2000000,86.2000000,82.0400000,82.2200000,210700
20070727,000000,80.1300000,81.6900000,77.1100000,80.5600000,232700
20070730,000000,80.0100000,82.8800000,79.7200000,79.8000000,233500
20070731,000000,80.8700000,82.9000000,80.1500000,82.5000000,689900
20070801,000000,78.3800000,81.1000000,78.0000000,81.0000000,280800
20070802,000000,80.6200000,83.4800000,79.0100000,83.3000000,224700
20070803,000000,83.9800000,85.4400000,81.9700000,84.1100000,307500
20070806,000000,80.3500000,82.5000000,80.3500000,81.3500000,115400
20070807,000000,82.2500000,83.3000000,80.6800000,80.6800000,676000
20070808,000000,81.9000000,82.4200000,79.9000000,81.3200000,137700
20070809,000000,82.2900000,82.2900000,78.1200000,79.5000000,651000
20070810,000000,77.7000000,78.7900000,75.5000000,76.0000000,498400
20070813,000000,77.4900000,78.3000000,75.5100000,76.5000000,186500
20070814,000000,76.5000000,76.8000000,75.7500000,76.3300000,142800
20070815,000000,75.5000000,76.4800000,74.1300000,74.9000000,362100
20070816,000000,74.9000000,75.0000000,73.5000000,73.7200000,412600
20070817,000000,73.8000000,77.4000000,72.0100000,77.3900000,469800
20070820,000000,77.9900000,77.9900000,75.7000000,75.7000000,69400
20070821,000000,76.0000000,76.3000000,73.5000000,75.5700000,93800
20070822,000000,75.2500000,80.0000000,75.0000000,76.9900000,583000
20070823,000000,77.0000000,78.7900000,76.7500000,77.4500000,266700
20070824,000000,77.0100000,78.6000000,76.5200000,77.9000000,90900
20070827,000000,78.9000000,79.7000000,77.6100000,79.4000000,76300
20070828,000000,79.4900000,79.8900000,77.4600000,77.9800000,49600
20070829,000000,76.7000000,77.5000000,76.0500000,76.8100000,43400
20070830,000000,77.7500000,78.3000000,77.2000000,77.7000000,256000
20070831,000000,78.4900000,83.0000000,77.2000000,82.3000000,648600
20070903,000000,82.9000000,83.9400000,81.3100000,83.9000000,549500
