<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,207.1400000,212.7700000,204.2200000,212.0000000,7174193
20070604,000000,209.2500000,210.9400000,207.6900000,208.3100000,4296607
20070605,000000,209.0000000,210.7000000,207.2600000,207.6100000,3949558
20070606,000000,207.9500000,209.2900000,204.8000000,205.8000000,2578911
20070607,000000,204.7500000,206.5000000,203.2500000,203.5000000,2738534
20070608,000000,201.9000000,204.5600000,200.7000000,203.0000000,4073027
20070609,000000,203.5100000,203.9500000,201.3100000,203.2500000,1527098
20070613,000000,203.2200000,203.9700000,202.0000000,203.9000000,2045851
20070614,000000,204.5000000,209.8100000,204.5000000,208.9000000,8452406
20070615,000000,209.7000000,211.4400000,206.7600000,209.6100000,5481729
20070618,000000,211.1000000,214.4000000,209.2500000,209.2500000,5505481
20070619,000000,209.2500000,210.3000000,205.8000000,206.2000000,3651100
20070620,000000,207.0000000,209.3000000,206.3100000,208.2000000,3331354
20070621,000000,207.0100000,207.6500000,204.8000000,205.3500000,2730737
20070622,000000,205.0100000,206.6500000,204.1000000,205.9900000,2350431
20070625,000000,204.9100000,204.9100000,203.6100000,204.0000000,1835330
20070626,000000,204.1000000,206.2500000,203.6500000,205.2100000,2047716
20070627,000000,203.8900000,204.8700000,202.5100000,203.7000000,2261522
20070628,000000,204.5700000,207.4900000,204.5700000,206.0200000,4584502
20070629,000000,207.0000000,207.0000000,203.8000000,204.7900000,2174844
20070702,000000,205.0000000,208.7500000,204.0600000,204.7900000,5539066
20070703,000000,206.5000000,207.5000000,205.0400000,205.5000000,7637688
20070704,000000,205.9900000,206.5500000,204.6000000,204.9900000,6079539
20070705,000000,205.5700000,213.2500000,205.1500000,213.2100000,19168697
20070706,000000,212.5000000,214.4800000,211.1100000,213.9000000,10189163
20070709,000000,215.0000000,216.5500000,214.5000000,215.4100000,7180492
20070710,000000,214.4000000,214.4000000,210.5200000,210.6500000,8574921
20070711,000000,209.2500000,213.2500000,209.1000000,212.8700000,6663822
20070712,000000,215.3500000,222.8000000,215.3000000,221.9500000,19487560
20070713,000000,224.2400000,224.3000000,220.5600000,221.7000000,11603392
20070716,000000,222.0000000,227.7700000,219.5600000,223.7100000,16794090
20070717,000000,222.7100000,223.8900000,219.7400000,223.6300000,13979352
20070718,000000,221.9000000,222.6500000,219.1500000,220.1300000,6775367
20070719,000000,221.3000000,225.1100000,221.3000000,224.3900000,9122332
20070720,000000,224.0000000,225.2500000,221.2600000,222.4200000,5589690
20070723,000000,221.2500000,224.6500000,219.5500000,223.9900000,6974615
20070724,000000,224.0100000,224.3700000,217.5000000,217.7900000,6491540
20070725,000000,216.6100000,219.0000000,215.2000000,218.8000000,6576945
20070726,000000,220.0600000,221.4000000,212.3000000,212.5000000,9503314
20070727,000000,208.2000000,212.1600000,206.1000000,207.8000000,10624658
20070730,000000,208.0000000,212.2500000,207.0100000,209.4500000,7099605
20070731,000000,210.7000000,214.4700000,210.1200000,213.6200000,6063883
20070801,000000,210.6000000,211.0000000,206.5000000,207.4000000,9551115
20070802,000000,208.4000000,210.4900000,207.5000000,210.4700000,5918596
20070803,000000,210.8000000,212.7000000,208.5000000,209.7800000,5085049
20070806,000000,206.0000000,208.4000000,205.3100000,207.6000000,4649260
20070807,000000,207.6500000,210.8500000,207.2100000,208.5000000,3055003
20070808,000000,210.0000000,212.4000000,209.9000000,212.2500000,4045069
20070809,000000,213.2500000,215.2000000,206.9000000,207.7900000,8356365
20070810,000000,206.0700000,207.8700000,204.5000000,205.9700000,6351964
20070813,000000,208.1000000,210.8900000,206.4500000,210.8900000,5648831
20070814,000000,209.7000000,210.3500000,207.0700000,208.9000000,3897540
20070815,000000,206.0100000,207.9900000,205.7000000,206.2000000,5174873
20070816,000000,204.0000000,206.1700000,201.4000000,202.8900000,8127754
20070817,000000,202.0000000,207.6700000,197.8500000,207.2000000,12050105
20070820,000000,208.4000000,208.5500000,205.7700000,205.8900000,4084298
20070821,000000,206.5000000,206.9200000,201.8500000,204.1000000,6019511
20070822,000000,204.0000000,207.8000000,202.5800000,207.5800000,4332524
20070823,000000,208.0300000,209.4400000,206.5200000,206.5500000,3942323
20070824,000000,205.0200000,207.0900000,204.4700000,205.5000000,3391973
20070827,000000,207.6000000,208.1600000,206.7000000,207.0100000,3840505
20070828,000000,207.0800000,207.4800000,205.0000000,206.5000000,3123268
20070829,000000,203.7000000,208.3900000,203.0700000,207.5000000,5047243
20070830,000000,208.2200000,209.0000000,205.4000000,205.7700000,4188277
20070831,000000,206.8000000,212.4500000,206.5500000,211.8000000,10919525
20070903,000000,211.9600000,213.2500000,210.3000000,210.5500000,5024606
20070904,000000,210.2500000,211.2500000,209.1100000,209.7500000,2866773
20070905,000000,210.7000000,211.4000000,209.3000000,210.0000000,3163639
20070906,000000,210.2000000,213.2500000,210.2000000,212.6600000,4868547
20070907,000000,212.0000000,213.2000000,208.2500000,208.9000000,6348620
20070910,000000,208.5300000,209.3800000,207.3500000,208.4900000,4397755
20070911,000000,209.9400000,210.9000000,209.0300000,210.0500000,3799733
20070912,000000,211.2500000,211.4700000,208.0300000,209.9700000,4598160
20070913,000000,210.2600000,212.9500000,208.8600000,212.7300000,6684813
20070914,000000,212.8500000,216.4000000,211.1000000,216.2000000,8433668
20070917,000000,215.0100000,216.0200000,211.9000000,213.5500000,4988025
20070918,000000,213.9000000,214.9900000,212.2600000,214.9000000,5115964
20070919,000000,218.5000000,220.1800000,216.6200000,220.1000000,12957743
20070920,000000,219.5000000,219.5000000,215.6000000,216.7900000,7103807
20070921,000000,216.9900000,218.0000000,215.5100000,216.9000000,4558382
20070924,000000,217.1700000,217.9000000,213.9000000,214.9200000,6607803
20070925,000000,214.0000000,214.0600000,209.7200000,210.5000000,6716960
20070926,000000,211.2000000,213.2500000,210.5000000,213.2000000,5058011
20070927,000000,214.0000000,217.2500000,213.0200000,213.7000000,14701509
20070928,000000,214.7000000,215.4400000,212.1000000,213.1200000,5041373
20071001,000000,212.8000000,212.8500000,207.9200000,210.2400000,5164974
20071002,000000,212.6000000,217.1000000,212.5000000,216.3000000,9624747
20071003,000000,215.8800000,217.8900000,211.5400000,212.2000000,9323167
20071004,000000,211.3100000,213.8900000,210.8000000,211.7500000,5643224
20071005,000000,213.4000000,214.7000000,212.7700000,213.5100000,6434550
20071008,000000,214.5200000,215.6400000,212.3000000,212.7900000,6180304
20071009,000000,212.2500000,214.3000000,211.2500000,213.5000000,4527046
20071010,000000,214.2600000,215.2500000,211.5100000,212.1700000,9623703
20071011,000000,212.9000000,215.3100000,212.3500000,214.8200000,8032276
20071012,000000,212.7000000,214.0000000,211.8600000,213.4000000,3601339
20071015,000000,214.5000000,216.7000000,214.2000000,215.9700000,7112015
20071016,000000,215.9700000,221.2100000,215.9500000,216.8900000,29947327
20071017,000000,216.9000000,221.2000000,215.9100000,221.0000000,12963119
20071018,000000,221.2100000,221.6300000,216.2600000,217.0000000,11509688
20071019,000000,217.0000000,218.4400000,215.4000000,215.7000000,5870348
20071022,000000,212.8000000,212.9900000,209.3000000,210.4000000,9724423
20071023,000000,211.4500000,212.4000000,210.8000000,211.7800000,5501006
20071024,000000,211.7800000,212.8900000,210.2300000,211.8000000,4310167
20071025,000000,212.5900000,215.8500000,212.0000000,213.9100000,11010540
20071026,000000,215.1000000,218.8800000,214.5800000,218.5900000,10850365
20071029,000000,220.1500000,221.9500000,219.2100000,219.5000000,10833207
20071030,000000,219.2200000,219.4100000,216.7200000,217.2300000,7502191
20071031,000000,215.9900000,218.0000000,214.8500000,217.0900000,11431709
20071101,000000,218.2500000,221.6000000,213.5000000,215.6700000,18686225
20071102,000000,214.0000000,216.1900000,213.0000000,215.2000000,16278062
20071106,000000,216.5100000,224.7000000,215.3000000,223.8600000,20916136
20071107,000000,226.0000000,229.9000000,224.2000000,225.0000000,28786317
20071108,000000,221.7800000,228.8000000,221.2000000,226.2000000,19737851
20071109,000000,226.1500000,227.6600000,220.5100000,221.0600000,11530435
20071112,000000,220.2500000,223.1800000,218.6500000,220.6000000,10488443
20071113,000000,220.0000000,220.4500000,215.7800000,216.5000000,9657442
20071114,000000,218.2000000,224.2000000,216.3000000,223.5000000,15948156
20071115,000000,222.8800000,225.4300000,219.9500000,220.7000000,14432265
20071116,000000,219.8700000,221.8500000,216.1800000,219.0000000,11448255
20071119,000000,219.2000000,220.6900000,214.1000000,214.7500000,9369568
20071120,000000,214.7600000,216.9500000,211.6200000,215.3600000,12305896
20071121,000000,215.2500000,215.4500000,210.2700000,211.2500000,7878137
20071122,000000,211.9900000,212.8000000,207.5600000,210.3300000,9920882
20071123,000000,210.4100000,213.7000000,209.1200000,211.6500000,7245736
20071126,000000,213.7800000,215.6500000,211.7500000,214.1600000,12233543
20071127,000000,212.4800000,214.7900000,209.8200000,210.5600000,7561513
20071128,000000,210.4900000,212.7000000,208.5000000,212.3000000,9870193
