<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,227.0000000,229.9800000,224.6000000,229.0000000,1616580
20070604,000000,229.4400000,229.5000000,225.5500000,227.2000000,610049
20070605,000000,227.2000000,229.4900000,226.0500000,228.7900000,576123
20070606,000000,228.0200000,230.9900000,227.5500000,230.8400000,645568
20070607,000000,230.5000000,231.4800000,228.1000000,230.0000000,628926
20070608,000000,229.2800000,229.9900000,226.1100000,229.2000000,891800
20070609,000000,229.0200000,230.4900000,227.0500000,229.7400000,348129
20070613,000000,229.9900000,236.9900000,227.5000000,235.7600000,2320784
20070614,000000,238.3000000,239.4900000,236.5000000,238.2400000,1001595
20070615,000000,238.2500000,241.7000000,238.2500000,241.5000000,696841
20070618,000000,243.5000000,245.7600000,241.5000000,245.7500000,962171
20070619,000000,245.0000000,248.5000000,243.8000000,246.0500000,960580
20070620,000000,246.5000000,248.5000000,246.2000000,247.8000000,719316
20070621,000000,246.0200000,246.0200000,240.3100000,243.3000000,1795055
20070622,000000,243.3000000,250.0100000,240.5600000,247.3600000,2166761
20070625,000000,246.0000000,247.4700000,244.0000000,244.9900000,1976489
20070626,000000,245.4000000,246.5000000,244.5000000,245.8000000,1534288
20070627,000000,245.5500000,247.5000000,243.5000000,245.0100000,1864066
20070628,000000,245.5000000,246.9800000,245.0000000,245.5800000,1104432
20070629,000000,245.7800000,245.9700000,229.0500000,244.5700000,2148193
20070702,000000,246.2000000,252.4200000,245.5500000,247.9000000,2657403
20070703,000000,249.3200000,250.9000000,247.1600000,248.3000000,1898775
20070704,000000,248.0000000,250.0000000,248.0000000,249.3000000,1338954
20070705,000000,250.0000000,250.9400000,248.0000000,248.9900000,1850652
20070706,000000,249.5000000,250.4000000,244.0000000,247.9900000,1524590
20070709,000000,248.7000000,249.5000000,248.1500000,249.5000000,1993146
20070710,000000,249.5800000,249.9800000,246.0000000,246.5000000,1531009
20070711,000000,244.8500000,248.3500000,241.5700000,247.7100000,2074585
20070712,000000,248.3900000,250.6000000,248.3500000,250.0000000,2194721
20070713,000000,251.2000000,253.9800000,250.0000000,253.6000000,1904187
20070716,000000,253.0000000,253.3500000,250.4500000,251.1900000,1679432
20070717,000000,250.7300000,251.8500000,248.1300000,251.6000000,2169162
20070718,000000,251.4900000,251.8700000,248.5200000,249.3500000,1892241
20070719,000000,250.1900000,253.9700000,250.1900000,252.8000000,1864468
20070720,000000,252.8100000,253.3200000,244.2800000,244.6000000,3056995
20070723,000000,244.1000000,246.8700000,242.8000000,246.4700000,2351690
20070724,000000,246.9000000,246.9900000,242.5000000,243.6500000,1511471
20070725,000000,245.8700000,246.5000000,243.0000000,246.0100000,1186824
20070726,000000,246.9900000,246.9900000,241.1300000,242.2200000,1600881
20070727,000000,240.1400000,243.9000000,235.1300000,241.2700000,1841103
20070730,000000,240.8000000,243.9800000,239.0000000,240.7700000,1305666
20070731,000000,242.7700000,243.5400000,241.0000000,242.9500000,1937973
20070801,000000,240.2700000,245.7800000,238.0100000,242.6000000,1642429
20070802,000000,243.6000000,244.8700000,240.7500000,243.9900000,1555463
20070803,000000,244.0000000,244.8000000,243.2300000,244.1500000,1265234
20070806,000000,243.0000000,245.5000000,241.0000000,243.2500000,1251182
20070807,000000,244.6900000,244.9400000,243.1000000,243.6500000,959066
20070808,000000,244.4000000,249.6900000,243.8000000,248.9500000,2967373
20070809,000000,249.4700000,249.9700000,241.5300000,242.5000000,2249444
20070810,000000,241.3000000,247.1000000,239.5300000,244.0300000,1858397
20070813,000000,245.4900000,247.5000000,245.0200000,247.4900000,1894461
20070814,000000,246.7300000,248.1900000,244.3000000,247.4000000,1713113
20070815,000000,244.8500000,246.7000000,243.0100000,243.3200000,7678072
20070816,000000,241.0000000,244.1400000,237.1000000,240.1000000,2081260
20070817,000000,239.8500000,252.9500000,239.5100000,250.3000000,2422790
20070820,000000,251.0000000,252.0000000,248.6800000,249.0100000,1738927
20070821,000000,250.0000000,251.0000000,247.7500000,249.3000000,2048847
20070822,000000,249.9400000,251.9500000,249.0400000,249.0500000,1969161
20070823,000000,251.1400000,252.0000000,249.2500000,249.8500000,2190552
20070824,000000,249.5000000,251.7000000,248.1000000,251.7000000,2309232
20070827,000000,252.0000000,254.4800000,251.2100000,252.7000000,2258398
20070828,000000,252.7000000,254.0000000,251.4000000,253.2100000,2194041
20070829,000000,250.4500000,252.4200000,249.0000000,252.0000000,2155594
20070830,000000,252.2000000,254.0000000,251.1500000,252.5000000,1397958
20070831,000000,252.8100000,255.4000000,251.5000000,253.0500000,2373658
20070903,000000,254.0000000,254.6000000,251.7100000,251.8800000,2149415
20070904,000000,252.0000000,253.7500000,251.9300000,253.4900000,1820321
20070905,000000,253.9900000,255.8900000,253.9900000,254.8800000,2091860
20070906,000000,255.0000000,256.2600000,253.0100000,254.9600000,2290174
20070907,000000,254.9900000,255.9900000,253.3100000,254.4000000,2355144
20070910,000000,253.5000000,254.9700000,250.6100000,254.2100000,2377421
20070911,000000,254.3300000,254.9000000,252.7100000,253.0200000,1840341
20070912,000000,253.3000000,253.9700000,251.5300000,252.0600000,2998353
20070913,000000,252.5000000,257.9900000,252.5000000,257.2000000,3292728
20070914,000000,257.5000000,257.9800000,255.0000000,255.0000000,2313375
20070917,000000,255.0000000,258.5000000,253.7000000,258.0000000,3200169
20070918,000000,258.0500000,260.4900000,255.8600000,257.0000000,2220519
20070919,000000,258.6000000,261.5400000,257.0000000,258.6000000,3766424
20070920,000000,259.8500000,259.8900000,258.0000000,259.0000000,3628057
20070921,000000,259.0100000,260.0000000,258.6000000,259.7800000,2414604
20070924,000000,260.0600000,261.5300000,258.6000000,258.8100000,1705336
20070925,000000,259.5000000,260.3500000,258.5500000,259.8500000,1906029
20070926,000000,259.1600000,262.3600000,259.1100000,262.0000000,2102001
20070927,000000,262.2000000,263.4000000,261.5600000,261.9800000,769433
20070928,000000,262.0800000,263.2500000,261.0000000,262.7000000,2138263
20071001,000000,261.0100000,263.0200000,258.6000000,261.2500000,1978472
20071002,000000,262.9900000,266.6600000,261.9000000,266.6000000,2326983
20071003,000000,266.4000000,269.0000000,263.8800000,265.0100000,1837852
20071004,000000,265.5000000,267.5000000,263.5200000,263.9900000,2120852
20071005,000000,265.1900000,267.1500000,262.5000000,264.5300000,2120067
20071008,000000,264.8600000,268.9700000,264.8600000,268.6000000,2218997
20071009,000000,268.7000000,268.9600000,265.1000000,267.0000000,1987681
20071010,000000,267.7700000,268.5000000,262.8000000,265.0000000,1808543
20071011,000000,265.4000000,268.0000000,259.1100000,264.5300000,1983722
20071012,000000,264.3800000,264.5000000,259.7200000,260.6000000,2003244
20071015,000000,261.0700000,263.0000000,260.6400000,262.6900000,2473976
20071016,000000,261.3300000,262.0000000,254.0000000,255.6600000,737690
20071017,000000,255.0100000,258.4500000,253.0100000,257.6000000,1282408
20071018,000000,257.0100000,258.8900000,253.0300000,253.1600000,1379921
20071019,000000,253.0100000,253.9900000,248.3000000,248.3000000,1690034
20071022,000000,245.0700000,247.9800000,242.4200000,243.4800000,1484482
20071023,000000,244.6000000,245.9800000,243.0400000,244.0000000,2009387
20071024,000000,244.9000000,246.0000000,240.3100000,242.5000000,1676905
20071025,000000,242.5200000,246.5000000,242.4000000,244.7700000,1829133
20071026,000000,245.7800000,247.0000000,242.0200000,245.0000000,2220945
20071029,000000,245.6700000,246.5000000,243.1900000,244.2000000,2034023
20071030,000000,243.5300000,245.9000000,242.2000000,244.0600000,2011676
20071031,000000,242.9000000,245.3700000,242.1100000,243.4900000,2121168
20071101,000000,244.8800000,246.1000000,242.0500000,243.6000000,689461
20071102,000000,243.4300000,244.3000000,238.0000000,241.8000000,355479
20071106,000000,241.5100000,241.5100000,238.3000000,239.5000000,2071403
20071107,000000,240.0000000,241.9800000,237.5000000,237.5000000,895580
20071108,000000,236.8900000,238.5000000,233.2000000,238.3600000,2023426
20071109,000000,238.9900000,239.0000000,235.9200000,237.2500000,2149265
20071112,000000,236.5100000,238.7500000,233.7700000,237.5000000,2068564
20071113,000000,237.8000000,241.9000000,236.0000000,237.7700000,1885718
20071114,000000,239.5800000,241.0800000,236.0000000,238.9800000,1982460
20071115,000000,238.9900000,239.4000000,236.6300000,236.7900000,2327581
20071116,000000,236.6600000,242.7500000,234.5000000,242.2000000,2092208
20071119,000000,240.8900000,243.5000000,239.5100000,241.2300000,1902145
20071120,000000,241.2300000,243.5000000,238.6000000,241.8000000,2064530
20071121,000000,241.8100000,242.2000000,237.1100000,239.9300000,416128
20071122,000000,239.9300000,242.3500000,239.0200000,241.5000000,2344195
20071123,000000,242.0100000,242.3500000,239.5100000,240.2500000,2575225
20071126,000000,240.2500000,245.8800000,240.2500000,245.1400000,2018953
20071127,000000,245.1400000,246.7000000,244.2100000,245.8000000,2026504
20071128,000000,245.8000000,254.5000000,244.5500000,253.9900000,1869401
20071129,000000,256.6000000,260.6000000,256.0000000,259.9000000,878772
20071130,000000,260.0600000,263.7500000,260.0600000,263.3400000,1045084
20071203,000000,262.2700000,265.5900000,260.0100000,264.5000000,1884112
20071204,000000,264.2400000,267.4800000,263.1100000,267.2000000,2240627
20071205,000000,267.5000000,276.0000000,267.4400000,275.2500000,1959331
20071206,000000,275.2500000,279.7900000,273.2300000,279.5700000,2448648
20071207,000000,280.4900000,282.0000000,278.5000000,281.0000000,1949242
20071210,000000,280.5000000,293.3800000,275.5600000,292.0000000,2671065
20071211,000000,293.0000000,300.0000000,290.7500000,295.0500000,1798357
20071212,000000,293.2100000,293.2100000,288.0600000,292.7800000,2186520
20071213,000000,291.0000000,293.0000000,282.8700000,284.5000000,1882185
20071214,000000,283.4000000,285.7700000,276.7100000,276.9900000,1973329
20071217,000000,275.7200000,277.0000000,273.6400000,276.8600000,2077352
20071218,000000,276.8800000,280.8600000,275.0500000,280.5000000,1966041
20071219,000000,281.4600000,285.9900000,277.1000000,277.9100000,2013433
20071220,000000,278.0100000,280.7900000,277.9100000,280.7300000,2044539
20071221,000000,282.5000000,284.9700000,280.0200000,284.6000000,2456939
20071224,000000,285.4000000,285.4000000,280.5200000,283.0000000,1221274
