<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,1387.0000000,1424.5000000,1351.1000000,1412.9800000,1775261
20070604,000000,1400.0000000,1444.5700000,1382.0000000,1409.9800000,1866433
20070605,000000,1411.9900000,1449.7600000,1411.0100000,1430.0000000,1618428
20070606,000000,1425.0000000,1443.9500000,1402.1100000,1421.0000000,1106559
20070607,000000,1407.0000000,1430.0000000,1390.0000000,1397.4000000,1022890
20070608,000000,1380.0000000,1413.9900000,1351.0000000,1404.0000000,1488295
20070609,000000,1418.9000000,1423.8600000,1401.0000000,1411.0000000,482350
20070613,000000,1400.0100000,1424.9500000,1380.0100000,1424.9500000,887015
20070614,000000,1439.0000000,1471.0000000,1428.1000000,1471.0000000,1366107
20070615,000000,1475.9300000,1485.0000000,1444.0000000,1462.0100000,1205395
20070618,000000,1475.0000000,1476.0000000,1451.0000000,1463.0000000,464120
20070619,000000,1458.0000000,1495.2700000,1448.0000000,1473.0000000,1276200
20070620,000000,1490.8800000,1565.0000000,1485.4700000,1562.2300000,3638155
20070621,000000,1546.0000000,1566.0000000,1518.0900000,1524.0000000,2633185
20070622,000000,1526.5200000,1537.6000000,1495.0000000,1508.0500000,1584285
20070625,000000,1498.0000000,1525.9000000,1481.0000000,1512.0700000,1350147
20070626,000000,1512.0000000,1543.0000000,1506.0000000,1522.7000000,1694293
20070627,000000,1515.0000000,1519.0400000,1500.0300000,1506.0000000,808084
20070628,000000,1520.0000000,1527.8000000,1510.0000000,1518.9000000,647071
20070629,000000,1528.9800000,1531.1100000,1505.0100000,1520.0000000,1092037
20070702,000000,1524.8700000,1525.0200000,1510.0000000,1519.6000000,607974
20070703,000000,1529.0000000,1537.6700000,1519.4200000,1524.4700000,933613
20070704,000000,1522.1000000,1528.8800000,1511.0000000,1513.0600000,514015
20070705,000000,1516.0000000,1535.0000000,1515.0100000,1520.0000000,1042849
20070706,000000,1520.0000000,1521.9500000,1500.0000000,1514.0000000,585571
20070709,000000,1520.0100000,1554.7000000,1517.1000000,1544.8400000,2190231
20070710,000000,1541.1900000,1564.0000000,1519.0000000,1519.0000000,2114843
20070711,000000,1509.1000000,1538.3000000,1505.8900000,1526.0000000,1069747
20070712,000000,1540.0000000,1559.9900000,1536.0500000,1558.5000000,1952379
20070713,000000,1570.3700000,1570.3700000,1531.0000000,1531.0100000,1047917
20070716,000000,1529.0000000,1532.6000000,1517.1100000,1519.0100000,605524
20070717,000000,1518.0000000,1529.0000000,1497.2100000,1502.0000000,1028808
