<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,17.6800000,18.2090000,17.3000000,18.0800000,29488500
20070604,000000,18.0000000,18.0980000,17.4010000,17.5610000,26112300
20070605,000000,17.7000000,17.8300000,17.4010000,17.4920000,14144200
20070606,000000,17.4790000,17.6500000,17.1540000,17.4190000,18328800
20070607,000000,17.2170000,17.5440000,17.1110000,17.2090000,12299900
20070608,000000,17.0000000,17.4070000,16.8000000,17.2950000,14014600
20070609,000000,17.2890000,17.4200000,17.1870000,17.2690000,5535200
20070613,000000,17.1990000,17.3700000,17.1050000,17.3500000,13297800
20070614,000000,17.5950000,17.7710000,17.4610000,17.7000000,24182200
20070615,000000,17.8000000,18.0500000,17.4300000,17.4900000,30032500
20070618,000000,17.6300000,17.7900000,17.4910000,17.5800000,20116000
20070619,000000,17.6200000,18.3730000,17.5500000,17.8600000,61915700
20070620,000000,17.9120000,18.1700000,17.9100000,18.1500000,20751900
20070621,000000,17.9020000,18.0280000,17.7000000,17.7900000,19335700
20070622,000000,17.7000000,17.8600000,17.5500000,17.6970000,10873400
20070625,000000,17.5900000,17.6790000,17.3520000,17.5210000,18819900
20070626,000000,17.5000000,17.6000000,17.4200000,17.5200000,19068400
20070627,000000,17.3500000,17.4450000,17.2400000,17.2930000,7971000
20070628,000000,17.4500000,17.5550000,17.3150000,17.3830000,7375300
20070629,000000,17.5000000,17.5000000,17.1110000,17.2500000,13294200
20070702,000000,17.2480000,17.5100000,17.2020000,17.4700000,16488600
20070703,000000,17.6020000,17.8270000,17.5610000,17.6010000,27986100
20070704,000000,17.5650000,17.7760000,17.4500000,17.5140000,12985100
20070705,000000,17.5590000,18.2700000,17.4700000,18.1340000,53607700
20070706,000000,18.0300000,18.5850000,17.9800000,18.5000000,37522400
20070709,000000,18.6100000,18.7900000,18.4700000,18.6080000,19586100
20070710,000000,18.5700000,18.6000000,18.1500000,18.1990000,29307700
20070711,000000,18.0500000,18.5300000,18.0070000,18.4140000,16298900
20070712,000000,18.5890000,18.9880000,18.5210000,18.9600000,26096100
20070713,000000,19.2100000,19.3300000,18.8800000,18.9100000,19685200
20070716,000000,19.0500000,19.0790000,18.7510000,18.9120000,20004200
20070717,000000,18.8780000,18.8800000,18.5110000,18.8800000,19053000
20070718,000000,18.7610000,18.7680000,18.2500000,18.5000000,19099300
20070719,000000,18.6960000,18.9500000,18.5690000,18.8680000,19293300
20070720,000000,18.9010000,18.9600000,18.5250000,18.7000000,13349500
20070723,000000,18.4700000,18.7800000,18.4600000,18.5000000,13599100
20070724,000000,18.5500000,18.5860000,17.8870000,17.9200000,17468700
20070725,000000,17.7500000,18.1000000,17.6340000,18.1000000,25688800
20070726,000000,18.1980000,18.3860000,17.3800000,17.4400000,26482900
20070727,000000,17.1500000,17.5000000,16.9300000,17.4400000,27413900
20070730,000000,17.4500000,17.7000000,17.2100000,17.3980000,16274000
20070731,000000,17.5010000,17.6000000,17.3930000,17.5080000,18692800
20070801,000000,17.1000000,17.1900000,16.8880000,17.0900000,21025100
20070802,000000,17.1410000,17.3270000,17.1080000,17.2500000,12673000
20070803,000000,17.3700000,17.4970000,17.1260000,17.2400000,12280200
20070806,000000,16.9850000,17.1200000,16.8500000,16.9770000,15311800
20070807,000000,17.0200000,17.2800000,16.9500000,17.0630000,15898600
20070808,000000,17.2690000,17.4500000,17.1720000,17.4250000,19114400
20070809,000000,17.5000000,17.5990000,16.8790000,16.9880000,21343200
20070810,000000,16.7200000,17.1600000,16.7000000,17.0400000,21914600
20070813,000000,17.1870000,17.6500000,17.1350000,17.4980000,31373400
20070814,000000,17.3780000,17.7350000,17.2500000,17.3100000,54340100
20070815,000000,17.1200000,17.2750000,16.9900000,17.0300000,13361200
20070816,000000,16.7780000,16.8340000,16.4170000,16.6270000,22160900
20070817,000000,16.5000000,17.0700000,16.4200000,17.0000000,20806100
20070820,000000,17.1700000,17.1700000,16.8200000,16.8720000,8512600
20070821,000000,16.8020000,16.9730000,16.4500000,16.6600000,11831600
20070822,000000,16.6200000,16.9500000,16.5000000,16.8230000,9648500
20070823,000000,16.9200000,16.9800000,16.5110000,16.5900000,14389500
20070824,000000,16.5500000,16.8900000,16.4500000,16.6200000,18923000
20070827,000000,16.7700000,17.1340000,16.6900000,17.0640000,45844600
20070828,000000,17.0700000,17.1400000,16.7670000,16.8270000,25664100
20070829,000000,16.5510000,16.8280000,16.5250000,16.6990000,32900000
20070830,000000,16.8300000,16.8490000,16.3330000,16.4170000,41725200
20070831,000000,16.5990000,16.7500000,16.4230000,16.6500000,19410600
20070903,000000,16.7400000,16.7500000,16.5610000,16.5980000,7561000
20070904,000000,16.5550000,16.6380000,16.3690000,16.4000000,11792100
20070905,000000,16.4000000,16.5330000,16.2000000,16.2580000,17388400
20070906,000000,16.2580000,16.4000000,16.2410000,16.3510000,9576700
20070907,000000,16.3610000,16.3850000,15.8770000,15.9010000,17854900
20070910,000000,15.7500000,16.0000000,15.6000000,15.7930000,20837800
20070911,000000,15.8750000,15.8750000,15.6960000,15.7110000,7882200
20070912,000000,15.8000000,15.8000000,15.4000000,15.4000000,13322900
20070913,000000,15.5000000,15.7300000,15.4300000,15.6500000,13714000
20070914,000000,15.6770000,15.6770000,15.4800000,15.6000000,9088400
20070917,000000,15.5550000,15.5820000,15.1250000,15.2180000,20253400
20070918,000000,15.2400000,15.3650000,15.1780000,15.3080000,15673200
20070919,000000,15.5210000,15.5990000,15.4360000,15.5000000,19941700
20070920,000000,15.5000000,15.5500000,15.1890000,15.2800000,23437200
20070921,000000,15.2810000,15.4390000,15.1700000,15.2000000,28303300
20070924,000000,15.2800000,15.4600000,15.1870000,15.3090000,55422000
20070925,000000,15.2800000,15.3850000,14.9000000,14.9650000,33723900
20070926,000000,15.0080000,16.3880000,15.0000000,16.3350000,187021900
20070927,000000,16.5200000,16.9800000,16.5160000,16.6800000,135474600
20070928,000000,16.8400000,17.6500000,16.4310000,17.5370000,247545200
20071001,000000,17.3130000,17.9880000,17.0620000,17.2500000,160610100
20071002,000000,17.6300000,17.6700000,17.0100000,17.3100000,109450600
20071003,000000,17.3270000,17.4800000,16.7250000,16.8350000,74415200
20071004,000000,16.7890000,17.0700000,16.6660000,16.7700000,42816000
20071005,000000,16.8900000,16.9760000,16.5500000,16.7250000,50897200
20071008,000000,16.8760000,16.8770000,16.4450000,16.4600000,33644000
20071009,000000,16.4200000,17.9800000,16.3100000,17.9350000,239171100
20071010,000000,18.1000000,18.2000000,17.1020000,17.2100000,154788600
20071011,000000,17.3540000,17.6110000,17.1310000,17.2790000,71859700
20071012,000000,17.0000000,17.2220000,16.8500000,17.0670000,43788000
20071015,000000,17.2500000,17.7600000,17.1690000,17.3200000,89931900
20071016,000000,17.2800000,17.4450000,17.1000000,17.1890000,41037700
20071017,000000,17.1000000,17.4340000,17.0320000,17.3100000,48505800
20071018,000000,17.3960000,17.3960000,16.6800000,16.8520000,49277000
20071019,000000,16.8740000,17.2470000,16.8100000,16.8900000,39365800
20071022,000000,16.5380000,16.7200000,16.3330000,16.5500000,47542600
20071023,000000,16.5500000,16.8200000,16.5340000,16.5780000,34241800
20071024,000000,16.5100000,16.6300000,16.2520000,16.3000000,35459700
20071025,000000,16.4840000,16.7500000,16.3300000,16.3740000,78519200
20071026,000000,16.5880000,16.7880000,16.4500000,16.6440000,86028700
20071029,000000,16.8900000,17.0500000,16.7400000,16.8400000,91556100
