<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,28.3800000,29.3200000,27.9290000,29.1800000,51205600
20070604,000000,29.0020000,29.0890000,28.2660000,28.8120000,38261100
20070605,000000,29.0000000,29.2800000,28.7000000,28.9290000,38377200
20070606,000000,28.9000000,29.2780000,28.3000000,28.7000000,32341700
20070607,000000,28.6900000,28.9600000,28.0100000,28.2590000,25354900
20070608,000000,27.7770000,28.6100000,27.7770000,28.2510000,24412500
20070609,000000,28.2800000,28.4000000,28.0300000,28.0920000,12583400
20070613,000000,27.9300000,28.8980000,27.8250000,28.6500000,27906000
20070614,000000,28.9010000,29.5700000,28.8010000,29.4500000,65879200
20070615,000000,29.5000000,29.8400000,28.7010000,29.1800000,86730800
20070618,000000,29.4330000,29.9970000,29.2700000,29.6220000,72811400
20070619,000000,29.6810000,30.4850000,29.2800000,29.3900000,113094400
20070620,000000,29.5150000,30.1550000,29.4000000,30.1000000,75700500
20070621,000000,29.7700000,29.8500000,29.1600000,29.2200000,87810000
20070622,000000,29.3020000,29.3950000,28.7600000,29.2000000,39221100
20070625,000000,28.9870000,28.9990000,28.6000000,28.6390000,17626100
20070626,000000,28.6610000,29.0680000,28.3600000,28.5500000,57208100
20070627,000000,28.1600000,28.4000000,27.8570000,27.9870000,47335900
20070628,000000,28.3010000,28.4800000,27.9600000,28.1050000,37446400
20070629,000000,28.2100000,28.3000000,27.7300000,27.9000000,30862500
20070702,000000,27.9900000,28.8500000,27.8910000,28.8480000,41148200
20070703,000000,29.0500000,29.6340000,29.0000000,29.2010000,78061900
20070704,000000,29.2000000,29.6300000,29.0000000,29.2500000,46728400
20070705,000000,29.3600000,30.6300000,29.1600000,30.4190000,142375100
20070706,000000,30.3500000,30.8580000,29.9000000,30.6140000,114252800
20070709,000000,30.7330000,30.9700000,30.5700000,30.6350000,59034700
20070710,000000,30.5000000,30.6100000,29.7540000,29.7990000,63492800
20070711,000000,29.6000000,30.5020000,29.4710000,30.1850000,77982100
20070712,000000,30.3000000,31.1990000,30.2600000,31.1700000,112286200
20070713,000000,31.3000000,31.6900000,30.9080000,31.0610000,87445700
20070716,000000,31.2110000,31.3980000,30.6020000,31.0980000,82989700
20070717,000000,30.9800000,30.9800000,30.3110000,30.8890000,71283500
20070718,000000,30.5230000,30.5500000,29.7530000,30.1600000,94110500
20070719,000000,30.2900000,31.2000000,30.2900000,30.9000000,92238700
20070720,000000,31.0470000,31.1740000,30.2510000,30.3550000,79446100
20070723,000000,30.0400000,30.5550000,29.9010000,30.3000000,52552300
20070724,000000,30.3800000,30.5500000,29.5340000,29.6700000,78019900
20070725,000000,29.3000000,30.4530000,29.2550000,30.4130000,86171400
20070726,000000,30.5800000,30.7700000,28.9500000,29.0140000,118589900
20070727,000000,28.4000000,29.3770000,28.0710000,28.9960000,110863100
20070730,000000,28.9000000,29.6400000,28.4540000,29.0500000,95175400
20070731,000000,29.4020000,29.4800000,29.0010000,29.2400000,69122900
20070801,000000,28.6000000,28.7900000,28.0600000,28.5010000,86832500
20070802,000000,28.7700000,29.0260000,28.5000000,28.8500000,66741000
20070803,000000,28.9600000,29.0400000,28.4200000,28.5700000,74103100
