<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,817.5000000,817.5000000,800.0300000,812.8500000,1908
20070604,000000,812.0000000,817.3700000,810.0000000,811.3700000,1764
20070605,000000,814.3700000,817.0000000,813.2500000,813.2500000,5582
20070606,000000,815.0000000,821.5900000,810.0000000,815.0000000,2295
20070607,000000,815.3700000,815.3700000,811.1000000,811.2100000,2600
20070608,000000,811.0000000,815.0000000,806.0000000,815.0000000,2040
20070609,000000,815.0000000,847.9500000,815.0000000,840.0000000,19503
20070613,000000,840.0000000,840.0000000,815.0000000,825.0000000,13012
20070614,000000,842.0000000,845.0000000,830.0000000,831.0100000,19506
20070615,000000,829.5000000,884.9900000,825.1000000,870.0000000,26957
20070618,000000,870.0000000,882.0000000,860.4800000,880.0000000,38541
20070619,000000,878.0000000,880.0000000,855.0100000,856.1100000,5391
20070620,000000,868.0000000,870.0000000,857.0000000,863.0000000,22667
20070621,000000,859.9000000,860.0000000,850.0000000,855.0000000,2515
20070622,000000,859.8800000,862.0000000,851.0200000,862.0000000,3549
20070625,000000,858.9900000,870.0000000,853.7700000,860.0100000,5431
20070626,000000,853.0100000,873.5000000,853.0000000,873.5000000,3749
20070627,000000,874.9500000,874.9500000,852.0000000,869.0000000,3829
20070628,000000,868.9900000,875.0000000,860.0000000,867.0000000,8141
20070629,000000,867.0000000,872.3700000,865.0000000,868.0000000,6938
20070702,000000,867.0100000,870.0100000,867.0000000,869.9500000,12867
20070703,000000,871.5000000,919.9900000,868.0000000,908.0000000,46743
20070704,000000,910.0000000,924.6000000,902.0000000,912.0000000,14695
20070705,000000,912.0000000,920.0000000,901.0000000,901.0000000,6420
20070706,000000,902.0100000,915.0000000,895.0000000,913.0000000,1962
20070709,000000,908.0000000,954.0000000,908.0000000,954.0000000,25380
20070710,000000,960.0000000,963.0000000,942.5100000,954.3700000,17824
20070711,000000,937.5000000,959.9800000,937.0000000,941.0100000,7253
20070712,000000,949.9800000,961.0000000,940.0000000,940.0000000,15876
20070713,000000,960.0000000,978.0000000,935.0000000,939.3700000,3471
20070716,000000,939.3700000,950.0000000,910.1000000,928.0000000,6253
20070717,000000,928.0000000,936.0000000,901.1100000,925.0000000,3604
20070718,000000,911.0000000,928.9800000,825.0000000,918.9900000,5355
20070719,000000,918.3700000,918.3700000,907.0200000,914.0000000,10088
20070720,000000,914.0000000,914.0000000,901.0000000,913.0000000,5199
20070723,000000,905.0000000,913.0000000,904.0000000,906.0000000,1580
20070724,000000,903.0200000,909.9900000,895.0000000,895.0000000,2434
20070725,000000,895.0000000,908.0000000,895.0000000,904.0000000,11152
20070726,000000,910.0000000,919.0000000,890.0000000,890.0000000,6961
20070727,000000,889.1000000,897.9900000,862.5000000,878.0000000,8987
20070730,000000,889.0000000,897.0000000,863.0000000,891.0000000,3222
20070731,000000,900.0000000,969.9900000,900.0000000,962.0000000,49536
20070801,000000,955.0000000,960.0000000,905.0000000,960.0000000,64999
20070802,000000,970.0100000,975.0000000,951.1100000,970.0000000,10525
20070803,000000,961.0000000,1020.0000000,951.0200000,1017.9000000,20878
20070806,000000,1005.0000000,1022.0000000,986.0000000,1017.9900000,27570
20070807,000000,1014.9900000,1039.0000000,1000.0000000,1018.0000000,26047
20070808,000000,1032.0000000,1038.7000000,1007.0000000,1034.9900000,8783
20070809,000000,1040.0000000,1040.0000000,1011.1100000,1025.0000000,13317
20070810,000000,1001.1000000,1025.0000000,981.0000000,999.9900000,21230
20070813,000000,1010.0000000,1021.0000000,1004.0000000,1017.9900000,25855
20070814,000000,1024.0000000,1030.0000000,1013.0000000,1024.0000000,5891
20070815,000000,1015.5000000,1032.0000000,1015.5000000,1025.0000000,10487
20070816,000000,1011.0000000,1025.0000000,986.0000000,1003.1000000,11381
20070817,000000,1000.0000000,1017.0000000,970.0000000,1005.0000000,6662
20070820,000000,1005.0000000,1018.4900000,992.0000000,1010.1500000,2825
20070821,000000,1002.0000000,1011.9900000,980.0000000,990.0000000,14629
20070822,000000,996.0000000,1013.4800000,990.0000000,1010.0000000,22460
20070823,000000,1014.4900000,1048.0000000,1007.5500000,1048.0000000,33755
20070824,000000,1037.0000000,1056.0000000,1020.0000000,1044.7000000,20233
20070827,000000,1046.0000000,1060.0000000,1033.7300000,1040.4800000,13083
20070828,000000,1038.5100000,1040.0000000,1022.3400000,1030.0000000,13183
20070829,000000,1012.0300000,1033.0000000,1012.0300000,1022.0000000,9472
20070830,000000,1034.9700000,1043.0000000,1022.0000000,1035.6900000,11561
20070831,000000,1032.0000000,1058.0000000,1030.0000000,1044.5000000,6149
20070903,000000,1059.0000000,1100.0000000,1030.0000000,1073.6400000,15003
20070904,000000,1073.0000000,1080.0000000,1067.5000000,1072.0000000,7725
20070905,000000,1073.9000000,1078.0000000,1070.0000000,1078.0000000,4676
20070906,000000,1075.0000000,1096.0000000,1060.0000000,1072.1000000,3575
20070907,000000,1072.1000000,1078.0000000,1070.0000000,1075.5000000,2440
20070910,000000,1075.0000000,1078.0000000,1064.0000000,1073.3000000,4283
20070911,000000,1081.0000000,1098.0000000,1069.0300000,1088.0000000,7742
20070912,000000,1090.0000000,1134.0000000,1083.5000000,1084.8000000,16963
20070913,000000,1084.0000000,1109.9800000,1081.0000000,1100.0000000,17845
20070914,000000,1100.0000000,1129.9000000,1095.0000000,1112.0000000,4030
20070917,000000,1108.0000000,1108.0000000,1086.5200000,1104.0000000,29557
20070918,000000,1111.0000000,1119.0000000,1070.0000000,1100.0000000,32105
20070919,000000,1130.0000000,1145.0000000,1110.0000000,1139.0000000,19815
20070920,000000,1143.8900000,1224.9900000,1125.0000000,1194.9900000,33130
20070921,000000,1190.0000000,1209.0000000,1180.0000000,1181.0000000,8066
20070924,000000,1195.0000000,1208.9900000,1172.0000000,1180.0000000,9450
20070925,000000,1180.0000000,1299.8500000,1179.0000000,1224.9800000,77415
