<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,114.7700000,119.0100000,113.7100000,118.7000000,3681014
20070604,000000,117.9000000,118.6900000,115.0500000,116.2200000,1813441
20070605,000000,117.1000000,117.3300000,114.7000000,114.8900000,1774981
20070606,000000,115.7500000,117.0000000,114.6000000,117.0000000,1836950
20070607,000000,116.8700000,117.7300000,115.5100000,116.0000000,1678269
20070608,000000,115.0000000,116.4300000,114.5000000,115.3000000,1865485
20070609,000000,115.3000000,117.0500000,115.0000000,116.5000000,546490
20070613,000000,116.3900000,120.7000000,115.5100000,118.7300000,3811473
20070614,000000,120.1200000,120.9700000,118.7800000,120.4800000,3412982
20070615,000000,120.8000000,122.1200000,119.5000000,121.3800000,4008015
20070618,000000,122.0500000,124.3800000,121.9000000,123.5300000,4821069
20070619,000000,123.5000000,125.2000000,123.2100000,124.0200000,3290199
20070620,000000,124.6200000,125.5000000,124.2500000,125.2500000,1729000
20070621,000000,123.4800000,124.4700000,122.0000000,123.0000000,1956870
20070622,000000,123.5000000,124.4000000,121.5000000,122.3200000,1772400
20070625,000000,121.4500000,121.7500000,120.0000000,120.0000000,3749088
20070626,000000,120.1100000,121.5000000,120.0100000,120.5900000,3328114
20070627,000000,120.0000000,120.4500000,118.5200000,119.0300000,2980562
20070628,000000,121.0000000,121.3500000,118.0100000,118.2000000,2727028
20070629,000000,118.2000000,119.1900000,116.9000000,118.0000000,2011600
20070702,000000,118.0900000,120.7500000,117.8000000,118.5000000,3270377
20070703,000000,119.7000000,123.0000000,119.3500000,122.9000000,4101833
20070704,000000,122.9000000,123.1100000,121.6000000,121.9000000,2940909
20070705,000000,122.3100000,126.0000000,122.0500000,124.9600000,6273799
20070706,000000,125.5000000,126.0100000,124.2500000,125.9000000,3104186
20070709,000000,126.2500000,129.2500000,126.2000000,129.2000000,5044707
20070710,000000,129.0000000,129.5000000,125.0100000,127.7900000,6318984
20070711,000000,126.8500000,129.8700000,126.1500000,127.4700000,5480449
20070712,000000,128.1900000,136.9900000,128.1000000,136.6000000,11047455
20070713,000000,137.7700000,141.0000000,135.6000000,137.5300000,11195740
20070716,000000,138.1900000,139.0000000,136.0100000,137.0000000,5838981
20070717,000000,136.0000000,136.3000000,133.6600000,136.0000000,6067992
20070718,000000,134.8000000,135.0000000,131.7000000,132.5100000,7961746
20070719,000000,133.5900000,138.5000000,133.5000000,138.4600000,8719910
20070720,000000,139.1000000,139.4000000,136.0600000,136.5900000,5993708
20070723,000000,135.4900000,139.3100000,134.0300000,138.0000000,5724150
20070724,000000,138.1000000,138.4900000,134.0500000,134.0600000,5385819
