<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,0.0288000,0.0309000,0.0282000,0.0285000,375504000
20070604,000000,0.0291000,0.0291000,0.0285000,0.0289000,9885000
20070605,000000,0.0289000,0.0289000,0.0283000,0.0288000,13168000
20070606,000000,0.0283000,0.0285000,0.0276000,0.0284000,12742000
20070607,000000,0.0284000,0.0288000,0.0281000,0.0287000,57594000
20070608,000000,0.0281000,0.0287000,0.0281000,0.0285000,2374000
20070609,000000,0.0287000,0.0288000,0.0284000,0.0287000,25609000
20070613,000000,0.0291000,0.0291000,0.0284000,0.0288000,29397000
20070614,000000,0.0290000,0.0290000,0.0283000,0.0285000,54235000
20070615,000000,0.0286000,0.0287000,0.0282000,0.0285000,56031000
20070618,000000,0.0285000,0.0285000,0.0282000,0.0284000,19692000
20070619,000000,0.0285000,0.0285000,0.0281000,0.0282000,100214000
20070620,000000,0.0282000,0.0296000,0.0282000,0.0291000,413992000
20070621,000000,0.0291000,0.0299000,0.0284000,0.0289000,34712000
20070622,000000,0.0288000,0.0292000,0.0286000,0.0286000,55238000
20070625,000000,0.0285000,0.0289000,0.0284000,0.0286000,54304000
20070626,000000,0.0285000,0.0291000,0.0282000,0.0289000,313870000
20070627,000000,0.0288000,0.0288000,0.0282000,0.0283000,18810000
20070628,000000,0.0284000,0.0284000,0.0272000,0.0279000,62491000
20070629,000000,0.0280000,0.0282000,0.0272000,0.0282000,249313000
20070702,000000,0.0280000,0.0281000,0.0276000,0.0281000,92778000
20070703,000000,0.0284000,0.0284000,0.0275000,0.0280000,27155000
20070704,000000,0.0281000,0.0285000,0.0275000,0.0285000,183075000
20070705,000000,0.0285000,0.0288000,0.0282000,0.0286000,36924000
20070706,000000,0.0285000,0.0289000,0.0281000,0.0285000,154773000
20070709,000000,0.0289000,0.0301000,0.0287000,0.0294000,398872000
20070710,000000,0.0293000,0.0301000,0.0290000,0.0297000,422840000
20070711,000000,0.0295000,0.0300000,0.0294000,0.0300000,97166000
20070712,000000,0.0300000,0.0305000,0.0296000,0.0299000,250557000
20070713,000000,0.0296000,0.0300000,0.0295000,0.0297000,166603000
20070716,000000,0.0297000,0.0299000,0.0295000,0.0299000,20901000
20070717,000000,0.0295000,0.0298000,0.0287000,0.0297000,67853000
20070718,000000,0.0297000,0.0297000,0.0292000,0.0296000,27006000
20070719,000000,0.0294000,0.0310000,0.0294000,0.0300000,286807000
20070720,000000,0.0307000,0.0307000,0.0292000,0.0295000,113581000
20070723,000000,0.0290000,0.0293000,0.0288000,0.0293000,81363000
20070724,000000,0.0292000,0.0295000,0.0284000,0.0290000,665653000
20070725,000000,0.0285000,0.0289000,0.0285000,0.0288000,201179000
20070726,000000,0.0289000,0.0293000,0.0285000,0.0287000,667056000
20070727,000000,0.0284000,0.0284000,0.0282000,0.0283000,14587000
20070730,000000,0.0279000,0.0287000,0.0277000,0.0281000,11319000
20070731,000000,0.0288000,0.0288000,0.0279000,0.0282000,53819000
20070801,000000,0.0278000,0.0282000,0.0278000,0.0280000,38789000
20070802,000000,0.0283000,0.0283000,0.0278000,0.0281000,1037000
20070803,000000,0.0286000,0.0287000,0.0279000,0.0284000,52474000
20070806,000000,0.0280000,0.0281000,0.0280000,0.0280000,2924000
20070807,000000,0.0279000,0.0282000,0.0276000,0.0278000,39848000
20070808,000000,0.0281000,0.0285000,0.0278000,0.0282000,39386000
20070809,000000,0.0286000,0.0286000,0.0277000,0.0277000,61451000
20070810,000000,0.0282000,0.0282000,0.0268000,0.0270000,36839000
20070813,000000,0.0271000,0.0276000,0.0270000,0.0276000,6594000
20070814,000000,0.0270000,0.0276000,0.0270000,0.0276000,118478000
20070815,000000,0.0274000,0.0275000,0.0265000,0.0270000,25158000
20070816,000000,0.0265000,0.0265000,0.0259000,0.0260000,37038000
20070817,000000,0.0253000,0.0259000,0.0248000,0.0259000,67424000
20070820,000000,0.0262000,0.0269000,0.0257000,0.0261000,4969000
20070821,000000,0.0254000,0.0263000,0.0250000,0.0250000,24243000
20070822,000000,0.0256000,0.0258000,0.0245000,0.0252000,25805000
20070823,000000,0.0251000,0.0261000,0.0250000,0.0252000,25321000
20070824,000000,0.0252000,0.0257000,0.0250000,0.0257000,26821000
20070827,000000,0.0257000,0.0260000,0.0254000,0.0257000,24958000
20070828,000000,0.0255000,0.0259000,0.0250000,0.0250000,19612000
20070829,000000,0.0250000,0.0256000,0.0249000,0.0256000,25753000
20070830,000000,0.0256000,0.0258000,0.0252000,0.0255000,20968000
20070831,000000,0.0255000,0.0266000,0.0254000,0.0266000,24365000
20070903,000000,0.0269000,0.0275000,0.0258000,0.0260000,19962000
20070904,000000,0.0265000,0.0265000,0.0253000,0.0260000,6787000
20070905,000000,0.0259000,0.0268000,0.0255000,0.0260000,35591000
20070906,000000,0.0261000,0.0262000,0.0257000,0.0257000,11647000
20070907,000000,0.0263000,0.0274000,0.0258000,0.0267000,63657000
20070910,000000,0.0259000,0.0265000,0.0259000,0.0261000,14473000
20070911,000000,0.0260000,0.0266000,0.0258000,0.0265000,13279000
20070912,000000,0.0261000,0.0261000,0.0247000,0.0251000,68919000
