<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,234.0000000,234.0000000,232.9700000,234.0000000,81
20070604,000000,231.7900000,236.9500000,231.7900000,236.9500000,130
20070605,000000,236.9100000,236.9100000,236.0000000,236.7000000,30
20070606,000000,235.0000000,235.0000000,235.0000000,235.0000000,215
20070608,000000,235.1000000,235.1000000,235.1000000,235.1000000,2
20070609,000000,235.0000000,236.0000000,231.0000000,236.0000000,41
20070613,000000,230.5100000,231.0100000,230.0500000,231.0000000,177
20070614,000000,235.0000000,235.0000000,229.1700000,229.2000000,1317
20070615,000000,231.8100000,231.8100000,229.1000000,231.8100000,4993
20070618,000000,231.6800000,235.9500000,231.6800000,233.8200000,549
20070619,000000,231.0000000,232.0000000,231.0000000,232.0000000,877
20070620,000000,241.0000000,243.7000000,240.5500000,243.7000000,655
20070621,000000,243.8000000,243.8000000,243.6000000,243.6000000,454
20070626,000000,241.3500000,241.3500000,240.8700000,240.8700000,1112
20070627,000000,239.7300000,239.7300000,239.7300000,239.7300000,3
20070628,000000,240.3700000,241.1000000,240.3700000,241.1000000,5041
20070629,000000,237.3200000,237.3200000,237.3200000,237.3200000,5022
20070702,000000,237.5000000,237.5000000,237.5000000,237.5000000,1
20070703,000000,255.0000000,260.0000000,238.1900000,238.1900000,3229
20070704,000000,237.3300000,237.3300000,237.3300000,237.3300000,202
20070705,000000,246.9700000,246.9800000,246.9200000,246.9800000,11
20070706,000000,240.0000000,241.3300000,238.0000000,241.3300000,5635
20070709,000000,249.9900000,259.9900000,239.2900000,244.3300000,6044
20070710,000000,243.4900000,249.4000000,243.4900000,247.0000000,6023
20070711,000000,250.0000000,255.0000000,246.3200000,255.0000000,3707
20070712,000000,259.3200000,268.0000000,253.0000000,268.0000000,2752
20070713,000000,261.5400000,261.7800000,261.5400000,261.7700000,895
20070716,000000,261.6300000,300.0000000,261.6000000,290.0000000,502
20070717,000000,289.0000000,290.0000000,265.0000000,267.4600000,5814
20070718,000000,266.0000000,266.0000000,258.3800000,263.4700000,4812
20070719,000000,262.0300000,270.0000000,261.0000000,262.0000000,2016
20070720,000000,260.7100000,269.9800000,236.0000000,268.0000000,837
20070723,000000,261.7600000,272.0000000,258.0000000,272.0000000,5529
20070724,000000,265.0300000,275.0000000,261.4700000,267.0000000,6153
20070725,000000,261.5800000,261.5800000,261.5700000,261.5800000,1120
20070726,000000,269.8900000,269.8900000,259.8000000,260.0000000,118
20070727,000000,258.0000000,262.6300000,257.0200000,262.0000000,587
20070730,000000,256.3000000,256.3000000,250.0000000,250.0000000,7277
20070731,000000,263.6300000,263.6300000,257.0000000,257.0000000,5046
20070801,000000,249.0600000,255.4500000,249.0600000,250.3300000,932
20070802,000000,255.0000000,260.0000000,252.0000000,252.0000000,251
20070803,000000,250.8300000,250.8300000,250.8300000,250.8300000,639
20070806,000000,248.9100000,248.9100000,242.7700000,243.0000000,550
20070807,000000,245.0000000,259.9900000,240.0000000,247.9000000,3472
20070808,000000,248.0800000,253.0000000,248.0800000,252.9900000,945
20070809,000000,252.9900000,259.5000000,247.0000000,247.0000000,27259
20070810,000000,249.9000000,259.5000000,236.1200000,237.0000000,43825
20070813,000000,251.0000000,259.0000000,238.0000000,243.0000000,16851
20070814,000000,254.0000000,254.0000000,239.1000000,242.9900000,35474
20070815,000000,239.0000000,243.0000000,232.3400000,233.0000000,15612
20070816,000000,236.9000000,258.0000000,230.0000000,234.3200000,54034
20070817,000000,231.6400000,231.6400000,227.0000000,229.0700000,4067
20070820,000000,237.0000000,238.9900000,220.0000000,223.0100000,9636
20070821,000000,222.6500000,232.0000000,218.0100000,223.9000000,46215
20070822,000000,224.9900000,227.9800000,217.0000000,226.9000000,60980
20070823,000000,222.1000000,222.9900000,221.0300000,221.0300000,7492
20070824,000000,225.4600000,236.0000000,219.0100000,222.0000000,18421
20070827,000000,225.0000000,229.0000000,220.0000000,229.0000000,5233
20070828,000000,221.0000000,222.3000000,219.5000000,222.3000000,13929
20070829,000000,220.0100000,235.0000000,220.0100000,231.0100000,21739
20070830,000000,228.2000000,233.0000000,228.2000000,230.0000000,395
20070831,000000,245.0000000,275.0000000,228.0000000,247.0000000,14187
20070903,000000,265.7700000,270.0000000,238.0200000,241.4000000,2444
20070904,000000,241.0000000,263.1800000,240.0000000,242.5000000,7591
20070905,000000,240.0000000,259.0000000,236.0100000,254.5800000,38851
20070906,000000,254.1000000,254.5000000,248.2000000,254.4000000,6363
20070907,000000,253.1200000,258.9900000,253.0000000,255.0100000,13186
20070910,000000,247.8000000,250.9000000,247.8000000,250.8900000,3934
20070911,000000,247.0100000,258.9100000,247.0100000,252.0000000,11076
20070912,000000,251.0100000,256.9900000,243.6000000,247.7500000,3798
20070913,000000,242.1300000,247.6400000,242.1300000,247.6300000,1048
20070914,000000,247.2000000,248.6400000,247.2000000,248.5000000,3018
20070917,000000,251.8900000,252.9900000,240.3600000,245.0000000,12059
20070918,000000,245.7700000,252.9500000,237.0100000,241.0000000,5292
20070919,000000,245.7900000,251.9500000,241.4300000,250.9000000,14767
20070920,000000,245.3300000,252.5500000,245.3300000,251.0000000,6990
20070921,000000,247.1900000,265.0000000,245.0000000,259.5900000,28491
20070924,000000,261.0100000,261.4600000,257.0100000,261.4600000,616
20070925,000000,261.9800000,262.0000000,251.0100000,256.2600000,6367
20070926,000000,261.0000000,264.9900000,247.0200000,256.0100000,3589
20070927,000000,256.0000000,258.8900000,255.0000000,255.0000000,3289
20070928,000000,258.9900000,259.9800000,255.0000000,259.6700000,1284
20071001,000000,259.9900000,268.9900000,250.0200000,258.8800000,1439
20071002,000000,269.6100000,269.6100000,259.0000000,260.0000000,1238
20071003,000000,267.0000000,278.9800000,250.9300000,267.0000000,17854
20071004,000000,265.0000000,267.0000000,260.0000000,265.0000000,6262
20071005,000000,260.0000000,271.1400000,260.0000000,271.1400000,14542
20071008,000000,275.0000000,277.1700000,260.0100000,270.0100000,1360
20071009,000000,274.9900000,279.9900000,272.3200000,279.7000000,7565
20071010,000000,280.0000000,280.0000000,274.1500000,277.2200000,3972
20071011,000000,276.0000000,281.1000000,273.0000000,279.9800000,6286
20071012,000000,282.4300000,295.0000000,273.0100000,290.0000000,30053
20071015,000000,293.0000000,293.0000000,286.1000000,288.9900000,541
20071016,000000,290.0000000,290.3200000,283.0000000,290.0000000,7056
20071017,000000,290.0000000,299.9000000,281.0200000,299.9000000,21264
20071018,000000,300.0000000,318.6100000,288.0000000,308.9900000,16931
20071019,000000,324.6100000,324.6100000,300.0100000,309.9900000,933
20071022,000000,290.0000000,300.8400000,283.0000000,287.0000000,36733
20071023,000000,291.0000000,310.0000000,286.0300000,308.7900000,88775
20071024,000000,304.0000000,309.9000000,291.3200000,297.9000000,6766
20071025,000000,291.9000000,297.0000000,282.0000000,288.4000000,10984
20071026,000000,291.8900000,316.0000000,291.8900000,316.0000000,52912
20071029,000000,320.0000000,322.4400000,310.0300000,320.0000000,2116
20071030,000000,320.1000000,330.0000000,317.0000000,320.0000000,6069
20071031,000000,325.0000000,327.0000000,282.0000000,308.0000000,26197
20071101,000000,315.5900000,320.0000000,306.0000000,310.1000000,23558
20071102,000000,300.0000000,325.0000000,300.0000000,322.9000000,128650
20071106,000000,322.9000000,326.9700000,320.0000000,326.0000000,2804
20071107,000000,322.0200000,322.0200000,310.0000000,313.0000000,8154
20071108,000000,312.5000000,315.0000000,307.1000000,309.9900000,27802
20071109,000000,312.7300000,316.0000000,293.6000000,294.0000000,27034
20071112,000000,299.9800000,311.7700000,295.0000000,301.0000000,266133
20071113,000000,309.9900000,309.9900000,280.0000000,283.0000000,77848
20071114,000000,298.0000000,298.0000000,268.0000000,274.9600000,78188
20071115,000000,277.0000000,281.0000000,269.0000000,272.3000000,19905
20071116,000000,273.0000000,275.0000000,260.5200000,263.0000000,35695
20071119,000000,264.0100000,267.9900000,253.0100000,255.0000000,30009
20071120,000000,260.0000000,263.9500000,251.0000000,257.9900000,23477
20071121,000000,259.0000000,263.0000000,250.0000000,251.4900000,16004
20071122,000000,251.0000000,253.9700000,245.3500000,248.0000000,20634
20071123,000000,247.5100000,253.6900000,246.1000000,253.6700000,11475
20071126,000000,254.9900000,270.7000000,254.5500000,261.0000000,117356
20071127,000000,261.2000000,264.6300000,255.5100000,256.0000000,16033
20071128,000000,260.0000000,261.0000000,253.0000000,255.0000000,12894
20071129,000000,259.8000000,262.8000000,256.2000000,259.4800000,28355
20071130,000000,259.9900000,273.7300000,259.1500000,272.9500000,25226
20071203,000000,272.9400000,275.0000000,268.1100000,271.5000000,24441
20071204,000000,272.5000000,275.9500000,269.3400000,274.0000000,24795
20071205,000000,275.0000000,278.5800000,273.8000000,276.9900000,21659
20071206,000000,277.0000000,278.9900000,271.0200000,275.3300000,23084
20071207,000000,276.7700000,278.7400000,273.0000000,276.0000000,12766
20071210,000000,275.0700000,286.5000000,272.9000000,282.5000000,46476
20071211,000000,284.9000000,287.0000000,282.0100000,283.6400000,36432
20071212,000000,280.1700000,287.0000000,275.0000000,282.4900000,37684
20071213,000000,280.8000000,280.8000000,273.5000000,276.5500000,17842
20071214,000000,275.0000000,277.0000000,270.0100000,275.0000000,12252
20071217,000000,276.0000000,286.0000000,270.1000000,275.2000000,124178
20071218,000000,276.8800000,279.7100000,273.0400000,276.0200000,25669
20071219,000000,276.0500000,279.3000000,269.5000000,274.8700000,14039
20071220,000000,276.2000000,276.7900000,271.1500000,276.0000000,9345
20071221,000000,278.0000000,278.0000000,272.2200000,276.9900000,6991
20071224,000000,277.4900000,278.9000000,273.7000000,275.9000000,7326
20071225,000000,275.0000000,275.0000000,270.2200000,273.9000000,8328
20071226,000000,274.9600000,279.0000000,271.0100000,274.0000000,30469
20071227,000000,273.0000000,274.4000000,205.0000000,272.8500000,29320
20071228,000000,275.0000000,275.0000000,269.7500000,271.0000000,12551
20080109,000000,275.0000000,275.0000000,270.0300000,273.0000000,3276
20080110,000000,273.0000000,274.5000000,272.0000000,274.5000000,9539
20080111,000000,273.5000000,276.5000000,271.5000000,274.0100000,15221
20080114,000000,273.0000000,276.3800000,272.5000000,275.7000000,9380
20080115,000000,272.5100000,275.4900000,265.5000000,272.1000000,22632
20080116,000000,271.0000000,276.0000000,253.0000000,255.9900000,102580
20080117,000000,258.0000000,263.8900000,246.1000000,256.9000000,55952
20080118,000000,255.0000000,262.9900000,251.0100000,253.0500000,18280
20080121,000000,252.0500000,252.0500000,240.1500000,243.5000000,31346
20080122,000000,235.1000000,256.9000000,225.4800000,246.9800000,57372
20080123,000000,254.0000000,258.1800000,231.0200000,235.0000000,35660
20080124,000000,243.5000000,244.9900000,233.3400000,240.0000000,21223
20080125,000000,245.0000000,245.9700000,241.1200000,245.0000000,11614
20080128,000000,240.0000000,247.0000000,235.0000000,238.0000000,39740
20080129,000000,239.9900000,246.2000000,239.3000000,246.0000000,16106
20080130,000000,242.7000000,242.7000000,231.9900000,236.4900000,71883
20080131,000000,236.0000000,236.4900000,222.0000000,224.9900000,41300
20080201,000000,227.7800000,234.9000000,222.3000000,227.2000000,45359
20080204,000000,231.5500000,243.1900000,223.2200000,230.8900000,22098
20080205,000000,230.9000000,238.8000000,223.0000000,224.0000000,38536
