<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,2.4930000,2.7000000,2.4010000,2.4980000,24657000
20070602,000000,2.4000000,2.5250000,2.4100000,2.4980000,80138000
20070606,000000,2.4310000,2.4430000,2.4000000,2.6200000,374571000
20070607,000000,2.5600000,2.6750000,2.4100000,2.6040000,1197107000
20070608,000000,2.6000000,2.6900000,2.5600000,2.6800000,31880000
20070609,000000,2.6990000,2.6850000,2.4240000,2.8200000,115728000
20070610,000000,3.0990000,2.8800000,2.6570000,2.8200000,136672000
20070615,000000,2.9510000,3.1950000,3.0000000,3.0230000,186215000
20070616,000000,3.0500000,3.0400000,2.9510000,3.0230000,102236000
20070620,000000,3.0500000,3.0500000,3.0010000,3.0810000,246695000
20070621,000000,3.0990000,3.0900000,3.0230000,3.0790000,52428000
20070622,000000,3.0800000,3.1000000,3.0150000,3.0490000,38024000
20070623,000000,3.0700000,3.0800000,3.0230000,3.0490000,20350000
20070627,000000,3.0210000,3.0700000,3.0100000,3.0450000,29547000
20070628,000000,3.0300000,3.0450000,3.0210000,3.0290000,14036000
20070629,000000,3.0060000,3.0500000,3.0100000,3.0230000,16209000
20070630,000000,3.0040000,3.0300000,2.9500000,3.0230000,18417000
20070704,000000,3.0200000,3.0240000,2.9900000,3.0130000,73821000
20070705,000000,3.0190000,3.0380000,2.9300000,3.0680000,763781000
20070706,000000,3.0800000,3.1500000,2.9400000,3.1100000,210742000
20070707,000000,3.2000000,3.1500000,3.0170000,3.1100000,97562000
20070711,000000,3.1200000,3.2500000,3.1400000,3.2280000,126431000
20070712,000000,3.2350000,3.2400000,3.1200000,3.2040000,23707000
20070713,000000,3.2040000,3.2540000,3.1800000,3.2300000,36128000
20070714,000000,3.2410000,3.2300000,3.1610000,3.2300000,23836000
20070718,000000,3.2200000,3.2410000,3.1700000,3.1850000,40030000
20070719,000000,3.1860000,3.2200000,3.1610000,3.2090000,6931000
20070720,000000,3.2000000,3.2100000,3.1730000,3.1570000,15270000
20070721,000000,3.1700000,3.2000000,3.1090000,3.1570000,12817000
20070725,000000,3.1150000,3.1790000,3.1400000,3.1260000,10419000
20070726,000000,3.1500000,3.1500000,3.0740000,3.0450000,35067000
20070727,000000,3.0100000,3.1500000,3.0150000,3.0400000,14088000
20070728,000000,3.0000000,3.0790000,2.9810000,3.0400000,12636000
20070801,000000,3.0000000,3.0900000,2.9710000,3.0660000,31053000
20070802,000000,3.0310000,3.0800000,3.0000000,3.0700000,18850000
20070803,000000,3.0700000,3.0700000,3.0130000,3.0970000,3675000
20070804,000000,3.0010000,3.0990000,3.0230000,3.0970000,8811000
20070808,000000,3.0500000,3.0400000,3.0000000,3.0300000,19982000
20070809,000000,3.0050000,3.0500000,3.0020000,3.0150000,4846000
20070810,000000,2.9700000,3.0480000,2.9700000,2.9460000,7442000
20070811,000000,2.9500000,3.0490000,2.9220000,2.9460000,40884000
