<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,7600.0000000,7600.0000000,7512.0000000,7539.0000000,644
20070604,000000,7600.0000000,7600.0000000,7500.0000000,7515.0000000,381
20070605,000000,7530.0000000,7530.0000000,7430.4000000,7460.0000000,464
20070606,000000,7494.9900000,7670.0000000,7441.0000000,7441.0000000,115
20070607,000000,7500.0000000,7500.0000000,7390.0000000,7420.0000000,212
20070608,000000,7580.0000000,7580.0000000,7479.9900000,7480.0000000,16
20070609,000000,7501.0100000,7550.0000000,7480.0000000,7480.0000000,424
20070613,000000,7450.0000000,7505.0000000,7431.0000000,7480.0000000,261
20070614,000000,7529.9700000,7625.0000000,7475.0100000,7600.0000000,1769
20070615,000000,7550.0000000,7700.0000000,7550.0000000,7700.0000000,254
20070618,000000,7800.0000000,7800.0000000,7649.0000000,7675.0000000,229
20070619,000000,7700.0000000,7725.0000000,7650.0000000,7650.0000000,1518
20070620,000000,7799.0000000,7800.0000000,7660.0000000,7689.9900000,263
20070621,000000,7505.0000000,7785.0000000,7501.0000000,7610.0000000,152
20070622,000000,7769.0000000,7775.0000000,7764.8000000,7775.0000000,106
20070625,000000,7700.0000000,7899.0000000,7700.0000000,7777.0000000,522
20070626,000000,7750.0000000,7900.0000000,7750.0000000,7770.0000000,1106
20070627,000000,7800.0000000,7818.9900000,7772.0000000,7772.0000000,145
20070628,000000,7795.0000000,7900.0000000,7755.0000000,7779.0000000,320
20070629,000000,7839.9900000,7870.0000000,7750.0000000,7810.0000000,519
20070702,000000,7810.0000000,8060.0000000,7810.0000000,7980.0000000,4065
20070703,000000,8000.0000000,8040.0000000,7960.0000000,8000.0000000,1660
20070704,000000,8000.0000000,8100.0000000,8000.0000000,8005.0000000,826
20070705,000000,8030.0000000,8030.0000000,7900.0000000,7940.0000000,1150
20070706,000000,7990.0000000,7995.0000000,7900.0000000,7950.0000000,651
20070709,000000,7880.0000000,8070.0000000,7800.0000000,8070.0000000,818
20070710,000000,7901.0000000,8000.0000000,7901.0000000,7960.0000000,601
20070711,000000,7907.0000000,7907.0000000,7850.0000000,7850.0000000,166
20070712,000000,7850.0000000,8050.0000000,7850.0000000,7988.9900000,1208
20070713,000000,7970.0000000,7970.0000000,7905.0000000,7970.0000000,784
20070716,000000,7901.0100000,8000.0000000,7861.0000000,7950.0000000,2481
20070717,000000,7860.0000000,7860.0000000,7750.0100000,7850.0000000,295
20070718,000000,7800.0000000,7840.0000000,7710.0000000,7840.0000000,373
20070719,000000,7800.0000000,8000.0000000,7800.0000000,7900.0000000,915
20070720,000000,7925.0000000,7949.0000000,7850.0000000,7949.0000000,111
20070723,000000,7900.0100000,8020.0000000,7895.0000000,8020.0000000,179
20070724,000000,7880.0100000,7881.0000000,7850.0000000,7850.0000000,305
20070725,000000,7850.0000000,7850.0000000,7700.0000000,7800.0000000,443
20070726,000000,7800.0000000,7800.0000000,7600.0000000,7650.0000000,1235
20070727,000000,7600.0000000,7790.0000000,7561.0000000,7561.0000000,939
20070730,000000,7715.0000000,7715.0000000,7500.0100000,7575.0000000,401
20070731,000000,7720.0000000,7720.0000000,7583.0000000,7600.0000000,417
20070801,000000,7515.0000000,7580.0000000,7450.5000000,7450.5000000,696
20070802,000000,7452.0000000,7605.0000000,7452.0000000,7580.0000000,206
20070803,000000,7525.0000000,7600.0000000,7525.0000000,7600.0000000,253
20070806,000000,7400.7400000,7599.0000000,7300.0000000,7575.0000000,336
20070807,000000,7576.0000000,7576.0000000,7405.0000000,7499.9900000,287
20070808,000000,7529.0000000,7539.0000000,7500.0000000,7539.0000000,81
20070809,000000,7500.0000000,7500.0000000,7400.0000000,7400.0000000,262
20070810,000000,7350.0000000,7350.0000000,7001.0000000,7116.0000000,466
20070813,000000,7250.0000000,7350.0000000,7151.0100000,7350.0000000,249
20070814,000000,7350.0000000,7400.0000000,7260.0000000,7300.0000000,487
20070815,000000,7399.9900000,7599.0000000,7170.0000000,7200.0000000,881
20070816,000000,7105.0000000,7155.0000000,7010.0600000,7100.0000000,1122
20070817,000000,7030.0000000,7170.0000000,7010.0000000,7170.0000000,837
20070820,000000,7100.0000000,7100.0000000,7075.0000000,7075.0000000,2
20070821,000000,7100.0000000,7101.0000000,7050.0000000,7050.0000000,263
20070822,000000,7010.0000000,7150.0000000,7010.0000000,7100.0000000,480
20070823,000000,7150.0000000,7200.0000000,7100.0000000,7100.0000000,142
20070824,000000,7100.0000000,7120.0000000,7100.0000000,7115.0000000,299
20070827,000000,7115.0000000,7190.0000000,7115.0000000,7130.0000000,35
20070828,000000,7100.0000000,7460.0000000,7100.0000000,7200.0000000,531
20070829,000000,7150.0000000,7349.0000000,7120.0000000,7200.0000000,63
20070831,000000,7250.0000000,7320.0000000,7250.0000000,7320.0000000,180
20070903,000000,7474.9000000,7474.9000000,7300.0000000,7319.3500000,544
20070904,000000,7300.0000000,7524.0000000,7300.0000000,7500.0000000,2577
20070905,000000,7565.0000000,7565.0000000,7381.0000000,7450.0000000,219
20070906,000000,7460.0000000,7460.0000000,7360.0000000,7360.0000000,3
20070907,000000,7450.0000000,7450.0000000,7301.0000000,7365.0000000,1471
20070910,000000,7370.0000000,7370.0000000,7250.5000000,7250.5000000,2556
20070911,000000,7275.0000000,7399.9900000,7275.0000000,7399.9900000,1254
20070912,000000,7350.0000000,7351.0000000,7300.0000000,7300.0000000,1430
20070913,000000,7350.0000000,7400.0000000,7350.0000000,7350.0000000,839
20070914,000000,7399.9900000,7460.0000000,7350.0000000,7355.0000000,1017
20070917,000000,7350.0000000,7350.0000000,7250.0000000,7350.0000000,1893
20070918,000000,7300.0000000,7330.0000000,7150.0000000,7250.0000000,3266
20070919,000000,7300.0000000,7400.0000000,7300.0000000,7350.0000000,2300
20070920,000000,7500.0000000,7500.0000000,7111.0100000,7280.0100000,258
20070921,000000,7265.0000000,7265.0000000,7250.0000000,7250.0000000,53
20070924,000000,7300.0000000,7300.0000000,7251.0000000,7299.9900000,665
20070925,000000,7240.5000000,7300.0000000,7200.0000000,7200.0000000,144
20070926,000000,7200.0000000,7240.0000000,7190.0000000,7239.0000000,887
20070927,000000,7265.0000000,7265.0000000,7200.0000000,7220.0000000,517
20070928,000000,7180.0000000,7777.0000000,7180.0000000,7777.0000000,1977
20071001,000000,7500.0000000,7500.0000000,7161.0000000,7161.0000000,185
20071002,000000,7210.0000000,7450.0000000,7180.0000000,7222.0200000,483
20071003,000000,7245.0000000,7250.0000000,7200.0000000,7220.0000000,134
20071004,000000,7230.0000000,7230.0000000,7200.0000000,7200.0000000,196
20071005,000000,7230.0000000,7499.0000000,7230.0000000,7300.0000000,41
20071008,000000,7300.0000000,7300.0000000,7209.0000000,7240.0000000,262
20071009,000000,7220.0000000,7280.0000000,7220.0000000,7220.0000000,551
20071010,000000,7220.0000000,7340.0000000,7200.0000000,7250.0000000,706
20071011,000000,7300.0000000,7450.0000000,7300.0000000,7450.0000000,695
20071012,000000,7320.5100000,7440.0000000,7320.5100000,7401.0000000,990
20071015,000000,7495.0000000,7497.0000000,7399.0000000,7400.0000000,1874
20071016,000000,7497.0000000,7504.0000000,7476.9900000,7500.0000000,967
20071017,000000,7557.0000000,7750.0000000,7550.0000000,7700.0000000,2863
20071018,000000,7777.7700000,7799.0000000,7500.0000000,7520.5000000,278
20071019,000000,7500.0000000,7550.0000000,7490.0000000,7491.0000000,1361
20071022,000000,7491.0000000,7545.0000000,7491.0000000,7500.0000000,431
20071023,000000,7600.0000000,7650.0000000,7501.0100000,7649.9900000,858
20071024,000000,7500.0000000,7650.0000000,7500.0000000,7595.0000000,124
20071025,000000,7521.0200000,7650.0000000,7491.0000000,7641.0000000,1258
20071026,000000,7600.0000000,7725.0000000,7600.0000000,7690.0000000,457
20071029,000000,7650.0000000,7935.0000000,7633.7000000,7934.0000000,2595
20071030,000000,7750.0000000,7925.0000000,7700.0000000,7900.0000000,1410
20071031,000000,7810.0000000,7900.0000000,7810.0000000,7850.0000000,616
20071101,000000,7850.0000000,7930.0000000,7799.0000000,7880.0000000,836
20071102,000000,7801.0100000,7900.0000000,7800.0000000,7900.0000000,908
20071106,000000,7940.0000000,8140.0000000,7940.0000000,8070.0000000,1415
20071107,000000,8100.0000000,8100.0000000,7900.0000000,7950.0000000,196
20071108,000000,8050.0000000,8050.0000000,7900.0000000,8000.0000000,242
20071109,000000,7970.0000000,7970.0000000,7800.0000000,7800.0000000,236
20071112,000000,7800.0000000,7919.0000000,7800.0000000,7850.0000000,67
20071113,000000,7825.0000000,7899.5000000,7650.0000000,7800.0000000,304
20071114,000000,7800.0100000,7930.0000000,7800.0100000,7890.0000000,459
20071115,000000,7900.0000000,7950.0000000,7820.0000000,7920.0000000,192
20071116,000000,7948.9900000,7950.0000000,7780.0000000,7850.0000000,2010
20071119,000000,7900.0000000,7950.0000000,7750.0000000,7850.0000000,656
20071120,000000,7850.0000000,7887.0000000,7810.0000000,7887.0000000,676
20071121,000000,7850.0000000,8036.0000000,7850.0000000,7900.0000000,7181
20071122,000000,7809.0000000,7840.0000000,7800.0000000,7800.0000000,134
20071123,000000,7790.0000000,7790.0000000,7700.0000000,7700.0000000,367
20071126,000000,7730.0000000,7799.9800000,7730.0000000,7782.0100000,137
20071127,000000,7925.0000000,7925.0000000,7650.0000000,7650.0000000,215
20071128,000000,7600.0000000,7700.0000000,7600.0000000,7660.0900000,70
20071129,000000,7700.0000000,7700.0000000,7556.0000000,7626.7900000,118
20071130,000000,7690.0000000,7935.0000000,7491.0000000,7935.0000000,777
20071203,000000,7750.0000000,7750.0000000,7525.0000000,7525.0000000,264
20071204,000000,7575.0000000,7600.0000000,7500.0000000,7515.0000000,415
20071205,000000,7525.0000000,7600.0000000,7525.0000000,7599.9900000,617
20071206,000000,7535.0000000,7551.0000000,7535.0000000,7550.0000000,534
20071207,000000,7590.0000000,7750.0000000,7500.0000000,7700.0000000,876
20071210,000000,7749.9000000,7750.0000000,7600.0000000,7700.0000000,543
20071211,000000,7720.0000000,7720.0000000,7600.0000000,7601.0300000,158
20071212,000000,7600.0100000,7940.0000000,7464.9900000,7800.0000000,1574
20071213,000000,7601.0100000,7601.0100000,7475.0000000,7480.0000000,326
