<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070601,000000,0.1450000,0.1465000,0.1438000,0.1452000,3411455000
20070604,000000,0.1450000,0.1450000,0.1409000,0.1429000,2338603000
20070605,000000,0.1430000,0.1445000,0.1419000,0.1428000,1877020000
20070606,000000,0.1429000,0.1435000,0.1398000,0.1420000,2092584000
20070607,000000,0.1415000,0.1422000,0.1408000,0.1410000,1040841000
20070608,000000,0.1402000,0.1436000,0.1400000,0.1429000,3364103000
20070609,000000,0.1430000,0.1439000,0.1424000,0.1426000,744601000
20070613,000000,0.1424000,0.1433000,0.1415000,0.1432000,689887000
20070614,000000,0.1438000,0.1468000,0.1433000,0.1466000,3610985000
20070615,000000,0.1469000,0.1475000,0.1440000,0.1445000,4952897000
20070618,000000,0.1455000,0.1458000,0.1437000,0.1446000,1303513000
20070619,000000,0.1443000,0.1446000,0.1434000,0.1436000,1198327000
20070620,000000,0.1444000,0.1459000,0.1436000,0.1452000,2053355000
20070621,000000,0.1450000,0.1450000,0.1435000,0.1438000,1125515000
20070622,000000,0.1439000,0.1445000,0.1426000,0.1431000,1344830000
20070625,000000,0.1427000,0.1428000,0.1412000,0.1420000,1179232000
20070626,000000,0.1419000,0.1430000,0.1412000,0.1421000,1354180000
20070627,000000,0.1419000,0.1422000,0.1401000,0.1409000,2292136000
20070628,000000,0.1419000,0.1420000,0.1407000,0.1413000,1110719000
20070629,000000,0.1412000,0.1417000,0.1399000,0.1409000,1209263000
20070702,000000,0.1409000,0.1412000,0.1397000,0.1400000,2046207000
20070703,000000,0.1402000,0.1409000,0.1392000,0.1404000,6080407000
20070704,000000,0.1403000,0.1405000,0.1391000,0.1398000,5614185000
20070705,000000,0.1400000,0.1403000,0.1394000,0.1401000,1555037000
20070706,000000,0.1399000,0.1411000,0.1395000,0.1402000,2439470000
20070709,000000,0.1405000,0.1414000,0.1399000,0.1412000,2115748000
20070710,000000,0.1409000,0.1409000,0.1394000,0.1400000,3240070000
20070711,000000,0.1394000,0.1402000,0.1391000,0.1396000,2675888000
20070712,000000,0.1400000,0.1410000,0.1397000,0.1410000,3226109000
20070713,000000,0.1413000,0.1417000,0.1400000,0.1407000,2754865000
20070716,000000,0.1404000,0.1405000,0.1394000,0.1404000,1920993000
